14, Band_13 ;SRF extracted from  http://asterweb.jpl.nasa.gov/content/01_mission/03_instrument/archive/tir.txt
Number of data points:
154
Wavenumber (cm-1)   Filter response
      856.164384       0.000000
      856.898029       0.000000
      857.632933       0.000400
      858.369099       0.000300
      859.106529       0.000500
      859.845228       0.000300
      860.585198       0.000200
      861.326443       0.000800
      862.068966       0.001300
      862.812770       0.001100
      863.557858       0.001000
      864.304235       0.001100
      865.051903       0.001300
      865.800866       0.001400
      866.551127       0.001100
      867.302689       0.001300
      868.055556       0.001300
      868.809731       0.001500
      869.565217       0.001600
      870.322019       0.001800
      871.080139       0.001600
      871.839582       0.001600
      872.600349       0.001900
      873.362445       0.001600
      874.125874       0.001400
      874.890639       0.001400
      875.656743       0.001800
      876.424189       0.001500
      877.192982       0.001500
      877.963126       0.001800
      878.734622       0.001600
      879.507476       0.001600
      880.281690       0.001600
      881.057269       0.001700
      881.834215       0.002000
      882.612533       0.001800
      883.392226       0.002400
      884.173298       0.003000
      884.955752       0.003700
      885.739593       0.004200
      886.524823       0.005000
      887.311446       0.005700
      888.099467       0.006300
      888.888889       0.006900
      889.679715       0.008000
      890.471950       0.008800
      891.265597       0.009500
      892.060660       0.010400
      892.857143       0.010800
      893.655049       0.012200
      894.454383       0.013500
      895.255148       0.014100
      896.057348       0.016400
      896.860987       0.017300
      897.666068       0.019900
      898.472597       0.022600
      899.280576       0.024900
      900.090009       0.029400
      900.900901       0.033800
      901.713255       0.040500
      902.527076       0.051600
      903.342367       0.064400
      904.159132       0.082600
      904.977376       0.110000
      905.797101       0.143300
      906.618314       0.186100
      907.441016       0.248900
      908.265213       0.311500
      909.090909       0.389300
      909.918107       0.483800
      910.746812       0.566800
      911.577028       0.658300
      912.408759       0.742100
      913.242009       0.803000
      914.076782       0.861900
      914.913083       0.912200
      915.750916       0.941800
      916.590284       0.968400
      917.431193       0.986400
      918.273646       0.995000
      919.117647       1.000000
      919.963201       0.995900
      920.810313       0.991000
      921.658986       0.983100
      922.509225       0.981000
      923.361034       0.979700
      924.214418       0.973600
      925.069380       0.971100
      925.925926       0.974400
      926.784059       0.964900
      927.643785       0.960700
      928.505107       0.966200
      929.368030       0.962600
      930.232558       0.958800
      931.098696       0.970000
      931.966449       0.967000
      932.835821       0.966700
      933.706816       0.966800
      934.579439       0.960300
      935.453695       0.954000
      936.329588       0.954700
      937.207123       0.953400
      938.086304       0.948900
      938.967136       0.945700
      939.849624       0.940800
      940.733772       0.937000
      941.619586       0.921300
      942.507069       0.912700
      943.396226       0.911500
      944.287063       0.899400
      945.179584       0.889700
      946.073794       0.889000
      946.969697       0.883600
      947.867299       0.867900
      948.766603       0.866200
      949.667616       0.866000
      950.570342       0.863800
      951.474786       0.862100
      952.380952       0.868700
      953.288847       0.871400
      954.198473       0.872900
      955.109838       0.878300
      956.022945       0.883600
      956.937799       0.891400
      957.854406       0.898800
      958.772771       0.911200
      959.692898       0.919000
      960.614793       0.920000
      961.538462       0.913800
      962.463908       0.900700
      963.391137       0.882400
      964.320154       0.836000
      965.250965       0.782300
      966.183575       0.717700
      967.117988       0.641100
      968.054211       0.554100
      968.992248       0.475200
      969.932105       0.400500
      970.873786       0.328800
      971.817298       0.265100
      972.762646       0.212500
      973.709834       0.165900
      974.658869       0.126300
      975.609756       0.095500
      976.562500       0.070900
      977.517107       0.051400
      978.473581       0.037100
      979.431929       0.025500
      980.392157       0.017100
      981.354269       0.011000
      982.318271       0.006800
      983.284169       0.003600
      984.251969       0.001400
      985.221675       0.000000
