10, channel 10 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
119
Wavenumber (cm-1)   Filter response
     1384.200000       0.000000
     1394.070000       0.001003
     1397.900000       0.003949
     1403.620000       0.006048
     1410.500000       0.010423
     1413.610000       0.015717
     1417.990000       0.031791
     1422.800000       0.051715
     1426.420000       0.067818
     1430.030000       0.083148
     1435.990000       0.103802
     1439.630000       0.121451
     1441.300000       0.132988
     1442.250000       0.147648
     1444.410000       0.167675
     1446.330000       0.199313
     1447.430000       0.225569
     1448.980000       0.257222
     1450.190000       0.291981
     1450.330000       0.331424
     1451.970000       0.370034
     1452.040000       0.404838
     1453.670000       0.442676
     1454.460000       0.474358
     1454.800000       0.500643
     1455.240000       0.533886
     1456.000000       0.563249
     1457.570000       0.596448
     1457.880000       0.620414
     1458.380000       0.629676
     1461.030000       0.629573
     1463.070000       0.611704
     1463.300000       0.600093
     1463.830000       0.582283
     1464.690000       0.560592
     1465.540000       0.538902
     1466.730000       0.513331
     1467.590000       0.492414
     1469.250000       0.473786
     1469.440000       0.459856
     1469.960000       0.441272
     1472.290000       0.416431
     1473.610000       0.400910
     1475.800000       0.394638
     1476.590000       0.396927
     1477.410000       0.401537
     1478.670000       0.410770
     1479.610000       0.424656
     1481.780000       0.446229
     1482.040000       0.466330
     1483.530000       0.493344
     1483.790000       0.513444
     1484.830000       0.535062
     1485.540000       0.560559
     1486.650000       0.587588
     1487.270000       0.606127
     1488.320000       0.628518
     1488.970000       0.648604
     1490.340000       0.667114
     1491.260000       0.679454
     1493.570000       0.681685
     1493.900000       0.677805
     1495.660000       0.667682
     1497.780000       0.655997
     1500.310000       0.645844
     1502.060000       0.634948
     1505.330000       0.623993
     1505.610000       0.616247
     1506.210000       0.603848
     1507.870000       0.585994
     1508.030000       0.568971
     1510.030000       0.548010
     1510.600000       0.533292
     1511.190000       0.520120
     1512.480000       0.503053
     1513.810000       0.488306
     1515.600000       0.480502
     1517.170000       0.484308
     1517.650000       0.492025
     1518.950000       0.504350
     1519.870000       0.516690
     1520.520000       0.537549
     1521.180000       0.559181
     1521.820000       0.579267
     1522.860000       0.600884
     1523.900000       0.622501
     1525.190000       0.663446
     1526.140000       0.678105
     1526.640000       0.687368
     1528.540000       0.688067
     1529.620000       0.683385
     1530.480000       0.661694
     1531.350000       0.641550
     1532.190000       0.618313
     1533.330000       0.589650
     1534.020000       0.554817
     1535.130000       0.523835
     1536.190000       0.488987
     1536.510000       0.454942
     1536.910000       0.427081
     1538.040000       0.397645
     1539.020000       0.356612
     1539.380000       0.325659
     1540.490000       0.294677
     1540.870000       0.265270
     1541.610000       0.234303
     1542.210000       0.193285
     1543.380000       0.166941
     1544.490000       0.135186
     1545.980000       0.104189
     1548.170000       0.068524
     1551.570000       0.038226
     1555.550000       0.023377
     1559.950000       0.011604
     1563.340000       0.009926
     1571.270000       0.007299
     1580.320000       0.003082
     1587.490000       0.000484
     1596.970000       0.000000
