9, channel 9 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
97
Wavenumber (cm-1)   Filter response
     1161.100000       0.000000
     1164.160000       0.003082
     1167.210000       0.005109
     1170.240000       0.004042
     1173.880000       0.008336
     1176.590000       0.014268
     1178.140000       0.018764
     1180.160000       0.033281
     1181.840000       0.054025
     1183.770000       0.080940
     1185.560000       0.114838
     1186.560000       0.143392
     1188.150000       0.176534
     1189.010000       0.212070
     1190.080000       0.249909
     1191.150000       0.288522
     1192.270000       0.332551
     1192.960000       0.371201
     1193.810000       0.405190
     1194.470000       0.439971
     1195.070000       0.467015
     1195.490000       0.494851
     1196.320000       0.527292
     1197.040000       0.569037
     1198.290000       0.630088
     1199.110000       0.660208
     1199.830000       0.679496
     1200.440000       0.684084
     1200.700000       0.693350
     1201.560000       0.704882
     1202.660000       0.700904
     1203.580000       0.696943
     1203.890000       0.688396
     1204.760000       0.679019
     1205.430000       0.667340
     1206.080000       0.654113
     1206.940000       0.643189
     1207.980000       0.630699
     1208.630000       0.618246
     1210.420000       0.604909
     1211.500000       0.597836
     1212.870000       0.602350
     1213.860000       0.607674
     1215.460000       0.617586
     1217.270000       0.629800
     1219.050000       0.638920
     1220.240000       0.644999
     1222.160000       0.648684
     1223.280000       0.646253
     1225.720000       0.642146
     1227.780000       0.638849
     1229.100000       0.638721
     1230.630000       0.640121
     1231.790000       0.642332
     1233.100000       0.640656
     1234.040000       0.639017
     1235.480000       0.629586
     1236.710000       0.617851
     1237.540000       0.603059
     1238.500000       0.581284
     1239.800000       0.554057
     1240.930000       0.529943
     1242.400000       0.500376
     1243.710000       0.474696
     1244.730000       0.460659
     1246.370000       0.451983
     1247.520000       0.453420
     1248.100000       0.454913
     1248.530000       0.461066
     1249.190000       0.472617
     1249.640000       0.480317
     1250.940000       0.500324
     1251.730000       0.527349
     1252.240000       0.544335
     1252.830000       0.569831
     1253.670000       0.579816
     1254.380000       0.573553
     1254.700000       0.565779
     1255.920000       0.506037
     1256.250000       0.476580
     1256.720000       0.417685
     1257.030000       0.385907
     1258.150000       0.290555
     1258.300000       0.262664
     1258.630000       0.232434
     1259.170000       0.182050
     1259.630000       0.145611
     1260.160000       0.117684
     1260.670000       0.086661
     1261.600000       0.061018
     1262.770000       0.042320
     1263.620000       0.029849
     1265.770000       0.014154
     1267.820000       0.010083
     1271.760000       0.004282
     1275.160000       0.001630
     1279.340000       0.000000
