14, band 1 module 5 CCD column 374 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
162
Wavenumber (cm-1)   Filter response
    24303.382000       0.000000
    24310.396000       0.000000
    24317.414000       0.000000
    24324.436000       0.000000
    24331.462000       0.000000
    24338.492000       0.000000
    24345.528000       0.000000
    24352.566000       0.000000
    24359.609000       0.000000
    24366.655000       0.000000
    24373.706000       0.000001
    24380.760000       0.000001
    24387.819000       0.000003
    24394.881000       0.000007
    24401.950000       0.000015
    24409.021000       0.000032
    24416.096000       0.000067
    24423.175000       0.000134
    24430.258000       0.000261
    24437.346000       0.000496
    24444.437000       0.000916
    24451.534000       0.001647
    24458.634000       0.002883
    24465.738000       0.004910
    24472.846000       0.008140
    24479.958000       0.013134
    24487.074000       0.020626
    24494.194000       0.031529
    24501.321000       0.046914
    24508.449000       0.067959
    24515.582000       0.095847
    24522.719000       0.131631
    24529.860000       0.176064
    24537.005000       0.229407
    24544.155000       0.291283
    24551.310000       0.360571
    24558.468000       0.435386
    24565.630000       0.513187
    24572.796000       0.591001
    24579.966000       0.665744
    24587.140000       0.734593
    24594.319000       0.795308
    24601.504000       0.846456
    24608.691000       0.887753
    24615.882000       0.919746
    24623.077000       0.943682
    24630.277000       0.961186
    24637.481000       0.973911
    24644.689000       0.983248
    24651.903000       0.990161
    24659.120000       0.995158
    24666.340000       0.998423
    24673.565000       1.000000
    24680.795000       0.999985
    24688.028000       0.998662
    24695.266000       0.996526
    24702.508000       0.994199
    24709.756000       0.992268
    24717.006000       0.991116
    24724.261000       0.990814
    24731.520000       0.991118
    24738.783000       0.991550
    24746.051000       0.991578
    24753.322000       0.990810
    24760.600000       0.989130
    24767.880000       0.986745
    24775.165000       0.984112
    24782.454000       0.981769
    24789.747000       0.980167
    24797.045000       0.979486
    24804.346000       0.979583
    24811.654000       0.980037
    24818.965000       0.980296
    24826.279000       0.979876
    24833.598000       0.978525
    24840.922000       0.976315
    24848.249000       0.973617
    24855.581000       0.970972
    24862.919000       0.968889
    24870.260000       0.967673
    24877.605000       0.967307
    24884.954000       0.967461
    24892.308000       0.967608
    24899.666000       0.967209
    24907.028000       0.965885
    24914.397000       0.963622
    24921.768000       0.960713
    24929.143000       0.957689
    24936.523000       0.955134
    24943.907000       0.953483
    24951.296000       0.952867
    24958.688000       0.953066
    24966.086000       0.949787
    24973.489000       0.944213
    24980.895000       0.937854
    24988.306000       0.930510
    24995.721000       0.922330
    25003.140000       0.913758
    25010.564000       0.905372
    25017.992000       0.897684
    25025.426000       0.890807
    25032.863000       0.884332
    25040.304000       0.878356
    25047.750000       0.872326
    25055.200000       0.865709
    25062.655000       0.858188
    25070.114000       0.849760
    25077.579000       0.840742
    25085.047000       0.831654
    25092.519000       0.823262
    25099.996000       0.815757
    25107.478000       0.809161
    25114.963000       0.803229
    25122.454000       0.797487
    25129.950000       0.791400
    25137.449000       0.784559
    25144.953000       0.776823
    25152.461000       0.768477
    25159.974000       0.760001
    25167.491000       0.751748
    25175.012000       0.744157
    25182.540000       0.737430
    25190.071000       0.731465
    25197.606000       0.725894
    25205.146000       0.720219
    25212.690000       0.713981
    25220.238000       0.707196
    25227.792000       0.699632
    25235.349000       0.691590
    25242.913000       0.683539
    25250.480000       0.675946
    25258.051000       0.669112
    25265.627000       0.663069
    25273.208000       0.657574
    25280.792000       0.652345
    25288.382000       0.646889
    25295.978000       0.640743
    25303.577000       0.633815
    25311.180000       0.626286
    25318.787000       0.618542
    25326.400000       0.611040
    25334.017000       0.604142
    25341.638000       0.598029
    25349.266000       0.592770
    25356.897000       0.587773
    25364.532000       0.582571
    25372.172000       0.576729
    25379.816000       0.569973
    25387.465000       0.562241
    25395.119000       0.553642
    25402.779000       0.544342
    25410.442000       0.534587
    25418.110000       0.524067
    25425.782000       0.512187
    25433.459000       0.498127
    25441.140000       0.480905
    25448.826000       0.459577
    25456.519000       0.433469
    25464.214000       0.402376
    25471.914000       0.366721
    25479.619000       0.327499
    25487.328000       0.285953
