13, Band_12 ;SRF extracted from  http://asterweb.jpl.nasa.gov/content/01_mission/03_instrument/archive/tir.txt
Number of data points:
110
Wavenumber (cm-1)   Filter response
     1011.122346       0.000000
     1012.145749       0.000200
     1013.171226       0.000300
     1014.198783       0.000600
     1015.228426       0.000900
     1016.260163       0.001500
     1017.293998       0.001500
     1018.329939       0.001500
     1019.367992       0.001300
     1020.408163       0.001700
     1021.450460       0.001500
     1022.494888       0.001100
     1023.541453       0.001000
     1024.590164       0.000600
     1025.641026       0.000800
     1026.694045       0.000900
     1027.749229       0.000800
     1028.806584       0.001100
     1029.866117       0.001400
     1030.927835       0.001900
     1031.991744       0.002300
     1033.057851       0.002700
     1034.126163       0.002800
     1035.196687       0.002800
     1036.269430       0.002800
     1037.344398       0.002700
     1038.421599       0.002100
     1039.501039       0.002100
     1040.582726       0.001800
     1041.666667       0.001900
     1042.752868       0.001200
     1043.841336       0.001300
     1044.932079       0.001600
     1046.025105       0.001500
     1047.120419       0.001400
     1048.218029       0.001700
     1049.317943       0.001500
     1050.420168       0.001800
     1051.524711       0.001700
     1052.631579       0.002300
     1053.740780       0.002300
     1054.852321       0.003100
     1055.966209       0.004500
     1057.082452       0.005400
     1058.201058       0.006300
     1059.322034       0.007000
     1060.445387       0.007700
     1061.571125       0.008800
     1062.699256       0.009600
     1063.829787       0.010400
     1064.962726       0.011800
     1066.098081       0.012600
     1067.235859       0.013900
     1068.376068       0.014800
     1069.518717       0.017100
     1070.663812       0.019800
     1071.811361       0.025000
     1072.961373       0.034100
     1074.113856       0.051600
     1075.268817       0.081300
     1076.426265       0.136100
     1077.586207       0.213900
     1078.748652       0.320200
     1079.913607       0.435500
     1081.081081       0.564600
     1082.251082       0.693400
     1083.423619       0.813800
     1084.598698       0.901600
     1085.776330       0.956600
     1086.956522       0.977600
     1088.139282       0.986700
     1089.324619       0.986000
     1090.512541       0.975500
     1091.703057       0.957300
     1092.896175       0.935000
     1094.091904       0.927300
     1095.290252       0.928900
     1096.491228       0.952200
     1097.694841       0.976700
     1098.901099       0.989300
     1100.110011       0.998100
     1101.321586       1.000000
     1102.535832       0.996500
     1103.752759       0.988500
     1104.972376       0.966900
     1106.194690       0.927800
     1107.419712       0.895700
     1108.647450       0.867700
     1109.877913       0.854900
     1111.111111       0.858000
     1112.347052       0.859600
     1113.585746       0.860900
     1114.827202       0.874000
     1116.071429       0.887800
     1117.318436       0.900200
     1118.568233       0.899000
     1119.820829       0.867500
     1121.076233       0.800400
     1122.334456       0.706700
     1123.595506       0.583200
     1124.859393       0.453300
     1126.126126       0.334800
     1127.395716       0.235100
     1128.668172       0.156500
     1129.943503       0.100100
     1131.221719       0.059400
     1132.502831       0.032300
     1133.786848       0.015800
     1135.073780       0.005500
     1136.363636       0.000000
