9, band 1 module 3 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
162
Wavenumber (cm-1)   Filter response
    24312.617000       0.000000
    24319.596000       0.000000
    24326.581000       0.000000
    24333.571000       0.000000
    24340.562000       0.000000
    24347.560000       0.000000
    24354.559000       0.000000
    24361.565000       0.000000
    24368.574000       0.000000
    24375.586000       0.000000
    24382.603000       0.000000
    24389.623000       0.000000
    24396.649000       0.000001
    24403.678000       0.000002
    24410.710000       0.000005
    24417.748000       0.000011
    24424.788000       0.000024
    24431.834000       0.000052
    24438.884000       0.000108
    24445.936000       0.000220
    24452.994000       0.000435
    24460.054000       0.000833
    24467.121000       0.001551
    24474.191000       0.002800
    24481.264000       0.004908
    24488.342000       0.008351
    24495.423000       0.013794
    24502.510000       0.022119
    24509.600000       0.034435
    24516.694000       0.052046
    24523.793000       0.076380
    24530.894000       0.108847
    24538.001000       0.150601
    24545.112000       0.202388
    24552.226000       0.264271
    24559.346000       0.335411
    24566.468000       0.413977
    24573.595000       0.497196
    24580.727000       0.581570
    24587.862000       0.663264
    24595.002000       0.738378
    24602.145000       0.803444
    24609.293000       0.857134
    24616.446000       0.898926
    24623.601000       0.929614
    24630.762000       0.951022
    24637.926000       0.965538
    24645.095000       0.975563
    24652.267000       0.983031
    24659.444000       0.989115
    24666.626000       0.994180
    24673.811000       0.997977
    24681.001000       1.000000
    24688.194000       0.999875
    24695.392000       0.997647
    24702.595000       0.993887
    24709.800000       0.989565
    24717.012000       0.985775
    24724.225000       0.983381
    24731.445000       0.982742
    24738.669000       0.983595
    24745.895000       0.985150
    24753.128000       0.986369
    24760.363000       0.986326
    24767.603000       0.984530
    24774.849000       0.981097
    24782.096000       0.976709
    24789.350000       0.972385
    24796.605000       0.969120
    24803.868000       0.967548
    24811.134000       0.967716
    24818.403000       0.969069
    24825.677000       0.970642
    24832.955000       0.971399
    24840.238000       0.970588
    24847.526000       0.968016
    24854.816000       0.964116
    24862.112000       0.959812
    24869.411000       0.956204
    24876.715000       0.954201
    24884.024000       0.954217
    24891.336000       0.956032
    24898.654000       0.958873
    24905.974000       0.961665
    24913.300000       0.963439
    24920.631000       0.963608
    24927.964000       0.962163
    24935.303000       0.959645
    24942.644000       0.956932
    24949.992000       0.954903
    24957.344000       0.954121
    24964.699000       0.951926
    24972.060000       0.947459
    24979.423000       0.942910
    24986.793000       0.937424
    24994.167000       0.930453
    25001.543000       0.921958
    25008.926000       0.912427
    25016.311000       0.902704
    25023.702000       0.893681
    25031.098000       0.885421
    25038.496000       0.878637
    25045.901000       0.872942
    25053.307000       0.867558
    25060.721000       0.861609
    25068.138000       0.854429
    25075.558000       0.845798
    25082.985000       0.836020
    25090.414000       0.825965
    25097.849000       0.816466
    25105.287000       0.808082
    25112.731000       0.801105
    25120.179000       0.795318
    25127.630000       0.790081
    25135.087000       0.784568
    25142.547000       0.778059
    25150.013000       0.770221
    25157.484000       0.761442
    25164.957000       0.752012
    25172.436000       0.742721
    25179.918000       0.734301
    25187.407000       0.727162
    25194.899000       0.721251
    25202.395000       0.716078
    25209.897000       0.710894
    25217.401000       0.705142
    25224.911000       0.698304
    25232.427000       0.690241
    25239.944000       0.681368
    25247.468000       0.672384
    25254.995000       0.664018
    25262.528000       0.656767
    25270.066000       0.650725
    25277.606000       0.645589
    25285.152000       0.640926
    25292.702000       0.635772
    25300.257000       0.629596
    25307.817000       0.622242
    25315.380000       0.613975
    25322.949000       0.605384
    25330.521000       0.597162
    25338.099000       0.589860
    25345.682000       0.583879
    25353.267000       0.578922
    25360.859000       0.574354
    25368.453000       0.569484
    25376.054000       0.563706
    25383.660000       0.556687
    25391.268000       0.548445
    25398.883000       0.539282
    25406.500000       0.529646
    25414.123000       0.519935
    25421.752000       0.509783
    25429.383000       0.498568
    25437.020000       0.485241
    25444.660000       0.468522
    25452.307000       0.447200
    25459.958000       0.420448
    25467.612000       0.388070
    25475.273000       0.350765
    25482.936000       0.309644
    25490.605000       0.266403
