1, METOP-2 Channel 1 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C001.INP
Number of data points:
791
Wavenumber (cm-1)   Filter response
    15180.000000       0.882417
    15185.000000       0.885994
    15190.000000       0.889561
    15195.000000       0.893085
    15200.000000       0.896533
    15205.000000       0.899893
    15210.000000       0.903173
    15215.000000       0.906384
    15220.000000       0.909533
    15225.000000       0.912628
    15230.000000       0.915677
    15235.000000       0.918687
    15240.000000       0.921665
    15245.000000       0.924617
    15250.000000       0.927545
    15255.000000       0.930438
    15260.000000       0.933283
    15265.000000       0.936067
    15270.000000       0.938777
    15275.000000       0.941399
    15280.000000       0.943918
    15285.000000       0.946319
    15290.000000       0.948584
    15295.000000       0.950703
    15300.000000       0.952690
    15305.000000       0.954568
    15310.000000       0.956362
    15315.000000       0.958093
    15320.000000       0.959784
    15325.000000       0.961455
    15330.000000       0.963129
    15335.000000       0.964827
    15340.000000       0.966569
    15345.000000       0.968359
    15350.000000       0.970184
    15355.000000       0.972029
    15360.000000       0.973880
    15365.000000       0.975725
    15370.000000       0.977549
    15375.000000       0.979338
    15380.000000       0.981078
    15385.000000       0.982755
    15390.000000       0.984356
    15395.000000       0.985883
    15400.000000       0.987338
    15405.000000       0.988722
    15410.000000       0.990035
    15415.000000       0.991279
    15420.000000       0.992454
    15425.000000       0.993558
    15430.000000       0.994590
    15435.000000       0.995549
    15440.000000       0.996431
    15445.000000       0.997231
    15450.000000       0.997945
    15455.000000       0.998565
    15460.000000       0.999085
    15465.000000       0.999498
    15470.000000       0.999794
    15475.000000       0.999965
    15480.000000       1.000000
    15485.000000       0.999894
    15490.000000       0.999663
    15495.000000       0.999328
    15500.000000       0.998909
    15505.000000       0.998425
    15510.000000       0.997896
    15515.000000       0.997340
    15520.000000       0.996774
    15525.000000       0.996218
    15530.000000       0.995689
    15535.000000       0.995194
    15540.000000       0.994727
    15545.000000       0.994280
    15550.000000       0.993846
    15555.000000       0.993417
    15560.000000       0.992986
    15565.000000       0.992547
    15570.000000       0.992093
    15575.000000       0.991615
    15580.000000       0.991107
    15585.000000       0.990569
    15590.000000       0.990005
    15595.000000       0.989417
    15600.000000       0.988809
    15605.000000       0.988183
    15610.000000       0.987543
    15615.000000       0.986890
    15620.000000       0.986228
    15625.000000       0.985559
    15630.000000       0.984884
    15635.000000       0.984199
    15640.000000       0.983501
    15645.000000       0.982784
    15650.000000       0.982043
    15655.000000       0.981273
    15660.000000       0.980469
    15665.000000       0.979626
    15670.000000       0.978738
    15675.000000       0.977797
    15680.000000       0.976801
    15685.000000       0.975750
    15690.000000       0.974646
    15695.000000       0.973490
    15700.000000       0.972283
    15705.000000       0.971025
    15710.000000       0.969716
    15715.000000       0.968356
    15720.000000       0.966943
    15725.000000       0.965477
    15730.000000       0.963963
    15735.000000       0.962416
    15740.000000       0.960853
    15745.000000       0.959290
    15750.000000       0.957744
    15755.000000       0.956231
    15760.000000       0.954767
    15765.000000       0.953370
    15770.000000       0.952056
    15775.000000       0.950845
    15780.000000       0.949737
    15785.000000       0.948715
    15790.000000       0.947759
    15795.000000       0.946854
    15800.000000       0.945980
    15805.000000       0.945120
    15810.000000       0.944259
    15815.000000       0.943377
    15820.000000       0.942458
    15825.000000       0.941486
    15830.000000       0.940457
    15835.000000       0.939387
    15840.000000       0.938291
    15845.000000       0.937185
    15850.000000       0.936083
    15855.000000       0.935002
    15860.000000       0.933957
    15865.000000       0.932963
    15870.000000       0.932037
    15875.000000       0.931196
    15880.000000       0.930448
    15885.000000       0.929794
    15890.000000       0.929231
    15895.000000       0.928762
    15900.000000       0.928386
    15905.000000       0.928105
    15910.000000       0.927923
    15915.000000       0.927841
    15920.000000       0.927864
    15925.000000       0.927997
    15930.000000       0.928238
    15935.000000       0.928571
    15940.000000       0.928982
    15945.000000       0.929454
    15950.000000       0.929973
    15955.000000       0.930525
    15960.000000       0.931097
    15965.000000       0.931674
    15970.000000       0.932242
    15975.000000       0.932788
    15980.000000       0.933304
    15985.000000       0.933803
    15990.000000       0.934299
    15995.000000       0.934810
    16000.000000       0.935348
    16005.000000       0.935932
    16010.000000       0.936576
    16015.000000       0.937296
    16020.000000       0.938111
    16025.000000       0.939039
    16030.000000       0.940092
    16035.000000       0.941261
    16040.000000       0.942526
    16045.000000       0.943868
    16050.000000       0.945268
    16055.000000       0.946709
    16060.000000       0.948173
    16065.000000       0.949642
    16070.000000       0.951100
    16075.000000       0.952528
    16080.000000       0.953911
    16085.000000       0.955245
    16090.000000       0.956539
    16095.000000       0.957804
    16100.000000       0.959047
    16105.000000       0.960277
    16110.000000       0.961504
    16115.000000       0.962735
    16120.000000       0.963981
    16125.000000       0.965248
    16130.000000       0.966546
    16135.000000       0.967876
    16140.000000       0.969216
    16145.000000       0.970542
    16150.000000       0.971830
    16155.000000       0.973056
    16160.000000       0.974194
    16165.000000       0.975220
    16170.000000       0.976107
    16175.000000       0.976827
    16180.000000       0.977352
    16185.000000       0.977655
    16190.000000       0.977743
    16195.000000       0.977640
    16200.000000       0.977369
    16205.000000       0.976951
    16210.000000       0.976405
    16215.000000       0.975750
    16220.000000       0.975004
    16225.000000       0.974183
    16230.000000       0.973306
    16235.000000       0.972388
    16240.000000       0.971435
    16245.000000       0.970432
    16250.000000       0.969364
    16255.000000       0.968213
    16260.000000       0.966962
    16265.000000       0.965593
    16270.000000       0.964085
    16275.000000       0.962419
    16280.000000       0.960573
    16285.000000       0.958522
    16290.000000       0.956247
    16295.000000       0.953759
    16300.000000       0.951091
    16305.000000       0.948276
    16310.000000       0.945345
    16315.000000       0.942328
    16320.000000       0.939254
    16325.000000       0.936153
    16330.000000       0.933054
    16335.000000       0.929985
    16340.000000       0.926976
    16345.000000       0.924051
    16350.000000       0.921215
    16355.000000       0.918471
    16360.000000       0.915822
    16365.000000       0.913270
    16370.000000       0.910821
    16375.000000       0.908479
    16380.000000       0.906250
    16385.000000       0.904142
    16390.000000       0.902162
    16395.000000       0.900318
    16400.000000       0.898616
    16405.000000       0.897052
    16410.000000       0.895624
    16415.000000       0.894330
    16420.000000       0.893170
    16425.000000       0.892144
    16430.000000       0.891254
    16435.000000       0.890503
    16440.000000       0.889894
    16445.000000       0.889433
    16450.000000       0.889124
    16455.000000       0.888960
    16460.000000       0.888917
    16465.000000       0.888974
    16470.000000       0.889110
    16475.000000       0.889305
    16480.000000       0.889539
    16485.000000       0.889792
    16490.000000       0.890045
    16495.000000       0.890278
    16500.000000       0.890472
    16505.000000       0.890608
    16510.000000       0.890685
    16515.000000       0.890709
    16520.000000       0.890689
    16525.000000       0.890631
    16530.000000       0.890542
    16535.000000       0.890430
    16540.000000       0.890301
    16545.000000       0.890160
    16550.000000       0.890014
    16555.000000       0.889870
    16560.000000       0.889732
    16565.000000       0.889592
    16570.000000       0.889433
    16575.000000       0.889240
    16580.000000       0.888997
    16585.000000       0.888687
    16590.000000       0.888294
    16595.000000       0.887798
    16600.000000       0.887182
    16605.000000       0.886427
    16610.000000       0.885511
    16615.000000       0.884415
    16620.000000       0.883138
    16625.000000       0.881686
    16630.000000       0.880068
    16635.000000       0.878286
    16640.000000       0.876346
    16645.000000       0.874250
    16650.000000       0.871998
    16655.000000       0.869592
    16660.000000       0.867028
    16665.000000       0.864307
    16670.000000       0.861423
    16675.000000       0.858382
    16680.000000       0.855193
    16685.000000       0.851864
    16690.000000       0.848401
    16695.000000       0.844812
    16700.000000       0.841100
    16705.000000       0.837270
    16710.000000       0.833325
    16715.000000       0.829266
    16720.000000       0.825095
    16725.000000       0.820813
    16730.000000       0.816429
    16735.000000       0.811961
    16740.000000       0.807426
    16745.000000       0.802843
    16750.000000       0.798228
    16755.000000       0.793597
    16760.000000       0.788967
    16765.000000       0.784355
    16770.000000       0.779776
    16775.000000       0.775249
    16780.000000       0.770790
    16785.000000       0.766413
    16790.000000       0.762128
    16795.000000       0.757945
    16800.000000       0.753874
    16805.000000       0.749926
    16810.000000       0.746113
    16815.000000       0.742450
    16820.000000       0.738950
    16825.000000       0.735630
    16830.000000       0.732506
    16835.000000       0.729598
    16840.000000       0.726917
    16845.000000       0.724448
    16850.000000       0.722167
    16855.000000       0.720052
    16860.000000       0.718082
    16865.000000       0.716238
    16870.000000       0.714502
    16875.000000       0.712857
    16880.000000       0.711285
    16885.000000       0.709770
    16890.000000       0.708297
    16895.000000       0.706847
    16900.000000       0.705375
    16905.000000       0.703809
    16910.000000       0.702080
    16915.000000       0.700117
    16920.000000       0.697843
    16925.000000       0.695185
    16930.000000       0.692063
    16935.000000       0.688392
    16940.000000       0.684087
    16945.000000       0.679055
    16950.000000       0.673197
    16955.000000       0.666440
    16960.000000       0.658781
    16965.000000       0.650219
    16970.000000       0.640747
    16975.000000       0.630351
    16980.000000       0.619010
    16985.000000       0.606695
    16990.000000       0.593367
    16995.000000       0.578983
    17000.000000       0.563488
    17005.000000       0.546821
    17010.000000       0.528923
    17015.000000       0.509889
    17020.000000       0.489919
    17025.000000       0.469208
    17030.000000       0.447945
    17035.000000       0.426315
    17040.000000       0.404498
    17045.000000       0.382676
    17050.000000       0.361028
    17055.000000       0.339737
    17060.000000       0.318985
    17065.000000       0.298962
    17070.000000       0.279819
    17075.000000       0.261551
    17080.000000       0.244127
    17085.000000       0.227520
    17090.000000       0.211709
    17095.000000       0.196684
    17100.000000       0.182435
    17105.000000       0.168962
    17110.000000       0.156271
    17115.000000       0.144373
    17120.000000       0.133286
    17125.000000       0.123034
    17130.000000       0.113606
    17135.000000       0.104937
    17140.000000       0.096965
    17145.000000       0.089631
    17150.000000       0.082881
    17155.000000       0.076668
    17160.000000       0.070947
    17165.000000       0.065678
    17170.000000       0.060825
    17175.000000       0.056353
    17180.000000       0.052233
    17185.000000       0.048437
    17190.000000       0.044939
    17195.000000       0.041714
    17200.000000       0.038738
    17205.000000       0.035992
    17210.000000       0.033457
    17215.000000       0.031114
    17220.000000       0.028949
    17225.000000       0.026946
    17230.000000       0.025093
    17235.000000       0.023378
    17240.000000       0.021791
    17245.000000       0.020320
    17250.000000       0.018957
    17255.000000       0.017694
    17260.000000       0.016522
    17265.000000       0.015433
    17270.000000       0.014422
    17275.000000       0.013483
    17280.000000       0.012609
    17285.000000       0.011797
    17290.000000       0.011042
    17295.000000       0.010339
    17300.000000       0.009686
    17305.000000       0.009079
    17310.000000       0.008515
    17315.000000       0.007990
    17320.000000       0.007501
    17325.000000       0.007045
    17330.000000       0.006620
    17335.000000       0.006223
    17340.000000       0.005853
    17345.000000       0.005506
    17350.000000       0.005182
    17355.000000       0.004879
    17360.000000       0.004596
    17365.000000       0.004331
    17370.000000       0.004083
    17375.000000       0.003850
    17380.000000       0.003633
    17385.000000       0.003429
    17390.000000       0.003238
    17395.000000       0.003060
    17400.000000       0.002893
    17405.000000       0.002736
    17410.000000       0.002590
    17415.000000       0.002455
    17420.000000       0.002328
    17425.000000       0.002212
    17430.000000       0.002103
    17435.000000       0.002003
    17440.000000       0.001910
    17445.000000       0.001822
    17450.000000       0.001740
    17455.000000       0.001663
    17460.000000       0.001589
    17465.000000       0.001519
    17470.000000       0.001451
    17475.000000       0.001386
    17480.000000       0.001321
    17485.000000       0.001258
    17490.000000       0.001195
    17495.000000       0.001133
    17500.000000       0.001073
    17505.000000       0.001015
    17510.000000       0.000959
    17515.000000       0.000907
    17520.000000       0.000857
    17525.000000       0.000811
    17530.000000       0.000770
    17535.000000       0.000734
    17540.000000       0.000703
    17545.000000       0.000679
    17550.000000       0.000661
    17555.000000       0.000648
    17560.000000       0.000642
    17565.000000       0.000639
    17570.000000       0.000641
    17575.000000       0.000645
    17580.000000       0.000652
    17585.000000       0.000662
    17590.000000       0.000673
    17595.000000       0.000685
    17600.000000       0.000697
    17605.000000       0.000710
    17610.000000       0.000722
    17615.000000       0.000733
    17620.000000       0.000742
    17625.000000       0.000750
    17630.000000       0.000756
    17635.000000       0.000760
    17640.000000       0.000760
    17645.000000       0.000757
    17650.000000       0.000750
    17655.000000       0.000738
    17660.000000       0.000722
    17665.000000       0.000699
    17670.000000       0.000670
    17675.000000       0.000635
    17680.000000       0.000596
    17685.000000       0.000552
    17690.000000       0.000505
    17695.000000       0.000456
    17700.000000       0.000407
    17705.000000       0.000357
    17710.000000       0.000310
    17715.000000       0.000264
    17720.000000       0.000222
    17725.000000       0.000185
    17730.000000       0.000154
    17735.000000       0.000129
    17740.000000       0.000111
    17745.000000       0.000098
    17750.000000       0.000091
    17755.000000       0.000088
    17760.000000       0.000089
    17765.000000       0.000094
    17770.000000       0.000102
    17775.000000       0.000113
    17780.000000       0.000127
    17785.000000       0.000142
    17790.000000       0.000158
    17795.000000       0.000176
    17800.000000       0.000195
    17805.000000       0.000214
    17810.000000       0.000233
    17815.000000       0.000253
    17820.000000       0.000272
    17825.000000       0.000290
    17830.000000       0.000308
    17835.000000       0.000325
    17840.000000       0.000340
    17845.000000       0.000353
    17850.000000       0.000365
    17855.000000       0.000374
    17860.000000       0.000380
    17865.000000       0.000384
    17870.000000       0.000385
    17875.000000       0.000384
    17880.000000       0.000380
    17885.000000       0.000374
    17890.000000       0.000367
    17895.000000       0.000357
    17900.000000       0.000346
    17905.000000       0.000333
    17910.000000       0.000318
    17915.000000       0.000302
    17920.000000       0.000284
    17925.000000       0.000264
    17930.000000       0.000243
    17935.000000       0.000222
    17940.000000       0.000200
    17945.000000       0.000178
    17950.000000       0.000156
    17955.000000       0.000134
    17960.000000       0.000114
    17965.000000       0.000095
    17970.000000       0.000078
    17975.000000       0.000063
    17980.000000       0.000050
    17985.000000       0.000041
    17990.000000       0.000035
    17995.000000       0.000033
    18000.000000       0.000033
