55, band 4 module 4 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    20010.774000       0.000000
    20014.545000       0.000000
    20018.319000       0.000000
    20022.093000       0.000000
    20025.870000       0.000000
    20029.647000       0.000000
    20033.426000       0.000001
    20037.207000       0.000002
    20040.988000       0.000003
    20044.772000       0.000005
    20048.558000       0.000008
    20052.344000       0.000013
    20056.131000       0.000021
    20059.920000       0.000035
    20063.711000       0.000057
    20067.502000       0.000090
    20071.296000       0.000142
    20075.090000       0.000222
    20078.887000       0.000342
    20082.684000       0.000520
    20086.483000       0.000781
    20090.285000       0.001160
    20094.087000       0.001701
    20097.890000       0.002465
    20101.695000       0.003530
    20105.501000       0.004994
    20109.309000       0.006980
    20113.118000       0.009640
    20116.928000       0.013155
    20120.740000       0.017738
    20124.554000       0.023633
    20128.370000       0.031114
    20132.186000       0.040480
    20136.004000       0.052045
    20139.823000       0.066131
    20143.644000       0.083049
    20147.466000       0.103087
    20151.290000       0.126486
    20155.115000       0.153424
    20158.941000       0.183994
    20162.769000       0.218185
    20166.598000       0.255871
    20170.431000       0.296800
    20174.263000       0.340593
    20178.097000       0.386751
    20181.932000       0.434668
    20185.768000       0.483656
    20189.607000       0.532970
    20193.446000       0.581848
    20197.287000       0.629543
    20201.130000       0.675362
    20204.974000       0.718695
    20208.820000       0.759041
    20212.667000       0.796029
    20216.516000       0.829423
    20220.365000       0.859120
    20224.217000       0.885141
    20228.070000       0.907614
    20231.924000       0.926750
    20235.779000       0.942817
    20239.637000       0.956121
    20243.495000       0.966980
    20247.355000       0.975708
    20251.218000       0.982607
    20255.081000       0.987953
    20258.946000       0.991999
    20262.812000       0.994969
    20266.679000       0.997067
    20270.548000       0.998471
    20274.419000       0.999340
    20278.291000       0.999811
    20282.164000       1.000000
    20286.039000       1.000000
    20289.916000       0.999882
    20293.794000       0.999695
    20297.674000       0.999465
    20301.554000       0.999203
    20305.437000       0.998908
    20309.320000       0.998572
    20313.206000       0.998187
    20317.092000       0.997748
    20320.981000       0.997260
    20324.870000       0.996733
    20328.762000       0.996186
    20332.656000       0.995638
    20336.550000       0.995110
    20340.445000       0.994617
    20344.343000       0.994176
    20348.241000       0.993784
    20352.141000       0.993420
    20356.043000       0.993067
    20359.946000       0.992705
    20363.851000       0.992317
    20367.757000       0.991891
    20371.665000       0.991423
    20375.575000       0.990921
    20379.486000       0.990398
    20383.398000       0.989872
    20387.312000       0.989735
    20391.227000       0.989669
    20395.143000       0.989645
    20399.062000       0.989662
    20402.981000       0.989711
    20406.902000       0.989775
    20410.825000       0.989833
    20414.751000       0.989868
    20418.676000       0.989864
    20422.604000       0.989818
    20426.532000       0.989701
    20430.463000       0.989484
    20434.394000       0.989258
    20438.328000       0.989044
    20442.262000       0.988860
    20446.199000       0.988715
    20450.136000       0.988613
    20454.076000       0.988546
    20458.018000       0.988497
    20461.960000       0.988447
    20465.904000       0.988375
    20469.850000       0.988264
    20473.796000       0.988102
    20477.745000       0.987888
    20481.695000       0.987627
    20485.646000       0.987328
    20489.599000       0.987000
    20493.554000       0.986645
    20497.511000       0.986254
    20501.469000       0.985799
    20505.428000       0.985234
    20509.389000       0.984489
    20513.351000       0.983472
    20517.315000       0.982070
    20521.280000       0.980150
    20525.247000       0.977559
    20529.215000       0.974123
    20533.185000       0.969646
    20537.156000       0.963909
    20541.130000       0.956669
    20545.105000       0.947653
    20549.081000       0.936569
    20553.058000       0.923107
    20557.037000       0.906954
    20561.018000       0.887812
    20565.000000       0.865413
    20568.984000       0.839552
    20572.969000       0.810104
    20576.956000       0.777050
    20580.946000       0.740494
    20584.936000       0.700672
    20588.927000       0.657954
    20592.920000       0.612838
    20596.915000       0.565927
    20600.911000       0.517909
    20604.908000       0.469520
    20608.907000       0.421511
    20612.908000       0.374612
    20616.910000       0.329496
    20620.914000       0.286752
    20624.921000       0.246863
    20628.928000       0.210192
    20632.936000       0.176977
    20636.947000       0.147331
    20640.958000       0.121253
    20644.971000       0.098644
    20648.986000       0.079320
    20653.002000       0.063037
    20657.020000       0.049509
    20661.040000       0.038425
    20665.061000       0.029470
    20669.085000       0.022333
    20673.109000       0.016722
    20677.135000       0.012372
    20681.162000       0.009043
    20685.191000       0.006531
    20689.221000       0.004660
    20693.253000       0.003285
    20697.287000       0.002288
    20701.322000       0.001574
    20705.358000       0.001070
    20709.398000       0.000718
    20713.438000       0.000477
    20717.479000       0.000312
    20721.522000       0.000202
    20725.567000       0.000129
    20729.613000       0.000082
    20733.661000       0.000051
    20737.710000       0.000031
    20741.761000       0.000019
    20745.814000       0.000012
    20749.868000       0.000007
    20753.925000       0.000004
    20757.982000       0.000002
    20762.041000       0.000001
    20766.101000       0.000001
    20770.163000       0.000000
    20774.227000       0.000000
    20778.292000       0.000000
    20782.359000       0.000000
    20786.427000       0.000000
    20790.497000       0.000000
