44, band 3 module 5 CCD column 374 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    22101.794000       0.000000
    22106.389000       0.000000
    22110.985000       0.000000
    22115.584000       0.000000
    22120.184000       0.000000
    22124.787000       0.000000
    22129.391000       0.000000
    22133.998000       0.000000
    22138.605000       0.000000
    22143.214000       0.000000
    22147.827000       0.000000
    22152.440000       0.000001
    22157.057000       0.000002
    22161.673000       0.000003
    22166.294000       0.000006
    22170.915000       0.000010
    22175.539000       0.000018
    22180.164000       0.000031
    22184.792000       0.000053
    22189.420000       0.000090
    22194.051000       0.000151
    22198.685000       0.000247
    22203.319000       0.000400
    22207.957000       0.000637
    22212.595000       0.000998
    22217.237000       0.001542
    22221.879000       0.002347
    22226.524000       0.003518
    22231.170000       0.005194
    22235.820000       0.007554
    22240.469000       0.010821
    22245.123000       0.015270
    22249.776000       0.021227
    22254.432000       0.029069
    22259.091000       0.039216
    22263.751000       0.052121
    22268.414000       0.068249
    22273.077000       0.088053
    22277.744000       0.111941
    22282.412000       0.140240
    22287.083000       0.173154
    22291.754000       0.210732
    22296.429000       0.252832
    22301.104000       0.299105
    22305.781000       0.348981
    22310.462000       0.401684
    22315.143000       0.456261
    22319.828000       0.511626
    22324.513000       0.566626
    22329.201000       0.620111
    22333.890000       0.671013
    22338.583000       0.718413
    22343.276000       0.761600
    22347.972000       0.800109
    22352.669000       0.833736
    22357.369000       0.862527
    22362.070000       0.886737
    22366.773000       0.906786
    22371.479000       0.923188
    22376.186000       0.936495
    22380.896000       0.947237
    22385.607000       0.955878
    22390.321000       0.962800
    22395.036000       0.968287
    22399.754000       0.972557
    22404.473000       0.975769
    22409.195000       0.978059
    22413.918000       0.979562
    22418.642000       0.980430
    22423.370000       0.980836
    22428.099000       0.980968
    22432.831000       0.981008
    22437.564000       0.981116
    22442.300000       0.981401
    22447.037000       0.981909
    22451.777000       0.982627
    22456.517000       0.983484
    22461.262000       0.984367
    22466.006000       0.985157
    22470.754000       0.985750
    22475.503000       0.986084
    22480.254000       0.986155
    22485.008000       0.986015
    22489.762000       0.985765
    22494.521000       0.985526
    22499.279000       0.985423
    22504.042000       0.985553
    22508.804000       0.985960
    22513.571000       0.986629
    22518.337000       0.987487
    22523.108000       0.988422
    22527.878000       0.989305
    22532.651000       0.990021
    22537.428000       0.990490
    22542.205000       0.990690
    22546.985000       0.990733
    22551.766000       0.990639
    22556.550000       0.990520
    22561.335000       0.990501
    22566.124000       0.990686
    22570.913000       0.991131
    22575.706000       0.991833
    22580.499000       0.992732
    22585.295000       0.993722
    22590.093000       0.994674
    22594.892000       0.995431
    22599.695000       0.995853
    22604.498000       0.995993
    22609.305000       0.995879
    22614.112000       0.995594
    22618.923000       0.995259
    22623.735000       0.995005
    22628.550000       0.994946
    22633.365000       0.995153
    22638.184000       0.995638
    22643.004000       0.996351
    22647.826000       0.997173
    22652.651000       0.997983
    22657.477000       0.998661
    22662.306000       0.999106
    22667.136000       0.999268
    22671.970000       0.999160
    22676.804000       0.998850
    22681.642000       0.998455
    22686.480000       0.998106
    22691.322000       0.997919
    22696.164000       0.997972
    22701.010000       0.998268
    22705.857000       0.998761
    22710.705000       0.999331
    22715.557000       0.999808
    22720.410000       1.000000
    22725.266000       0.999714
    22730.123000       0.998779
    22734.984000       0.997049
    22739.845000       0.994401
    22744.709000       0.990712
    22749.574000       0.985828
    22754.443000       0.979536
    22759.312000       0.971542
    22764.184000       0.961441
    22769.059000       0.948726
    22773.934000       0.932816
    22778.814000       0.913100
    22783.693000       0.888998
    22788.577000       0.860034
    22793.461000       0.825906
    22798.348000       0.786545
    22803.236000       0.742145
    22808.128000       0.693198
    22813.021000       0.640462
    22817.917000       0.584918
    22822.813000       0.527715
    22827.712000       0.470086
    22832.614000       0.413270
    22837.517000       0.358429
    22842.423000       0.306579
    22847.330000       0.258545
    22852.241000       0.214924
    22857.152000       0.176077
    22862.067000       0.142144
    22866.983000       0.113058
    22871.902000       0.088589
    22876.822000       0.068380
    22881.744000       0.051989
    22886.669000       0.038931
    22891.595000       0.028713
    22896.525000       0.020856
    22901.455000       0.014919
    22906.389000       0.010510
    22911.324000       0.007291
    22916.262000       0.004981
    22921.201000       0.003351
    22926.144000       0.002220
    22931.087000       0.001448
    22936.033000       0.000930
    22940.981000       0.000588
    22945.930000       0.000366
    22950.884000       0.000225
    22955.837000       0.000136
    22960.795000       0.000081
    22965.753000       0.000047
    22970.715000       0.000027
    22975.677000       0.000015
    22980.643000       0.000009
    22985.610000       0.000005
    22990.580000       0.000003
    22995.551000       0.000001
    23000.524000       0.000001
    23005.501000       0.000000
    23010.478000       0.000000
    23015.459000       0.000000
    23020.441000       0.000000
    23025.426000       0.000000
    23030.412000       0.000000
    23035.402000       0.000000
    23040.392000       0.000000
    23045.386000       0.000000
    23050.381000       0.000000
    23055.380000       0.000000
