109, band 8 module 2 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14834.387000       0.000000
    14836.461000       0.000000
    14838.535000       0.000000
    14840.609000       0.000000
    14842.685000       0.000000
    14844.762000       0.000000
    14846.837000       0.000000
    14848.915000       0.000000
    14850.993000       0.000000
    14853.070000       0.000000
    14855.150000       0.000000
    14857.229000       0.000000
    14859.309000       0.000000
    14861.390000       0.000001
    14863.471000       0.000001
    14865.552000       0.000002
    14867.635000       0.000004
    14869.718000       0.000008
    14871.801000       0.000016
    14873.886000       0.000029
    14875.971000       0.000051
    14878.055000       0.000091
    14880.141000       0.000157
    14882.228000       0.000268
    14884.315000       0.000448
    14886.403000       0.000738
    14888.491000       0.001193
    14890.579000       0.001895
    14892.669000       0.002960
    14894.759000       0.004542
    14896.849000       0.006850
    14898.941000       0.010153
    14901.031000       0.014789
    14903.124000       0.021172
    14905.218000       0.029788
    14907.310000       0.041192
    14909.405000       0.055987
    14911.500000       0.074797
    14913.594000       0.098225
    14915.690000       0.126806
    14917.787000       0.160942
    14919.883000       0.200847
    14921.982000       0.246482
    14924.080000       0.297512
    14926.178000       0.353280
    14928.278000       0.412803
    14930.378000       0.474812
    14932.478000       0.537812
    14934.580000       0.600183
    14936.682000       0.660298
    14938.783000       0.716654
    14940.887000       0.767990
    14942.991000       0.813393
    14945.094000       0.852360
    14947.199000       0.884820
    14949.305000       0.911100
    14951.410000       0.931851
    14953.517000       0.947941
    14955.624000       0.960326
    14957.731000       0.969928
    14959.840000       0.977532
    14961.949000       0.983717
    14964.058000       0.988836
    14966.168000       0.993038
    14968.279000       0.996318
    14970.390000       0.998602
    14972.502000       0.999825
    14974.613000       1.000000
    14976.727000       0.999254
    14978.841000       0.997835
    14980.954000       0.996083
    14983.070000       0.994368
    14985.185000       0.993030
    14987.300000       0.992306
    14989.418000       0.992287
    14991.535000       0.992904
    14993.652000       0.993945
    14995.771000       0.995102
    14997.890000       0.996042
    15000.009000       0.996479
    15002.130000       0.996239
    15004.251000       0.995298
    15006.372000       0.993788
    15008.494000       0.991966
    15010.617000       0.990161
    15012.739000       0.988703
    15014.864000       0.987848
    15016.989000       0.987728
    15019.113000       0.988316
    15021.239000       0.989437
    15023.365000       0.990808
    15025.491000       0.992092
    15027.619000       0.992987
    15029.748000       0.993269
    15031.875000       0.992852
    15034.005000       0.991809
    15036.135000       0.990346
    15038.265000       0.988759
    15040.396000       0.987363
    15042.528000       0.986429
    15044.660000       0.986116
    15046.793000       0.986442
    15048.926000       0.987274
    15051.060000       0.988354
    15053.195000       0.989387
    15055.330000       0.990072
    15057.466000       0.990181
    15059.603000       0.989610
    15061.739000       0.988406
    15063.877000       0.986753
    15066.016000       0.984931
    15068.154000       0.983258
    15070.294000       0.982019
    15072.434000       0.981399
    15074.574000       0.981448
    15076.716000       0.982069
    15078.858000       0.983037
    15081.000000       0.984051
    15083.144000       0.984800
    15085.288000       0.985033
    15087.431000       0.984611
    15089.577000       0.983542
    15091.723000       0.981975
    15093.868000       0.980169
    15096.016000       0.978432
    15098.163000       0.977058
    15100.311000       0.976257
    15102.460000       0.976105
    15104.609000       0.976531
    15106.758000       0.977322
    15108.909000       0.978168
    15111.061000       0.978722
    15113.212000       0.978661
    15115.364000       0.977740
    15117.516000       0.975823
    15119.670000       0.972879
    15121.825000       0.968948
    15123.979000       0.964080
    15126.135000       0.958259
    15128.291000       0.951331
    15130.447000       0.942954
    15132.605000       0.932579
    15134.763000       0.919468
    15136.921000       0.902762
    15139.080000       0.881577
    15141.240000       0.855113
    15143.400000       0.822783
    15145.561000       0.784303
    15147.723000       0.739770
    15149.884000       0.689682
    15152.048000       0.634926
    15154.211000       0.576708
    15156.375000       0.516463
    15158.540000       0.455737
    15160.705000       0.396065
    15162.870000       0.338858
    15165.037000       0.285314
    15167.205000       0.236355
    15169.372000       0.192597
    15171.541000       0.154347
    15173.710000       0.121633
    15175.879000       0.094246
    15178.049000       0.071793
    15180.221000       0.053764
    15182.391000       0.039578
    15184.564000       0.028639
    15186.737000       0.020369
    15188.909000       0.014240
    15191.084000       0.009785
    15193.257000       0.006608
    15195.433000       0.004386
    15197.609000       0.002861
    15199.785000       0.001835
    15201.962000       0.001156
    15204.140000       0.000716
    15206.318000       0.000436
    15208.497000       0.000261
    15210.677000       0.000153
    15212.856000       0.000089
    15215.038000       0.000050
    15217.220000       0.000028
    15219.401000       0.000015
    15221.584000       0.000008
    15223.768000       0.000004
    15225.951000       0.000002
    15228.136000       0.000001
    15230.321000       0.000001
    15232.506000       0.000000
    15234.693000       0.000000
    15236.881000       0.000000
    15239.068000       0.000000
    15241.256000       0.000000
    15243.446000       0.000000
    15245.634000       0.000000
    15247.825000       0.000000
    15250.016000       0.000000
    15252.207000       0.000000
    15254.400000       0.000000
    15256.593000       0.000000
    15258.785000       0.000000
