117, band 8 module 4 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14811.564000       0.000000
    14813.627000       0.000000
    14815.691000       0.000000
    14817.754000       0.000000
    14819.819000       0.000000
    14821.883000       0.000000
    14823.948000       0.000000
    14826.014000       0.000000
    14828.082000       0.000000
    14830.149000       0.000000
    14832.216000       0.000000
    14834.285000       0.000001
    14836.353000       0.000001
    14838.424000       0.000002
    14840.494000       0.000004
    14842.564000       0.000007
    14844.635000       0.000013
    14846.707000       0.000024
    14848.779000       0.000042
    14850.853000       0.000072
    14852.926000       0.000122
    14855.000000       0.000203
    14857.075000       0.000332
    14859.150000       0.000537
    14861.227000       0.000854
    14863.303000       0.001338
    14865.380000       0.002062
    14867.457000       0.003130
    14869.535000       0.004678
    14871.613000       0.006883
    14873.694000       0.009970
    14875.774000       0.014220
    14877.854000       0.019968
    14879.935000       0.027610
    14882.016000       0.037589
    14884.100000       0.050391
    14886.182000       0.066523
    14888.265000       0.086483
    14890.349000       0.110728
    14892.433000       0.139636
    14894.518000       0.173457
    14896.605000       0.212273
    14898.691000       0.255960
    14900.778000       0.304165
    14902.865000       0.356286
    14904.953000       0.411492
    14907.043000       0.468743
    14909.132000       0.526852
    14911.222000       0.584548
    14913.312000       0.640560
    14915.403000       0.693705
    14917.494000       0.742974
    14919.587000       0.787592
    14921.680000       0.827065
    14923.773000       0.861198
    14925.867000       0.890077
    14927.961000       0.914028
    14930.057000       0.933558
    14932.153000       0.949277
    14934.249000       0.961821
    14936.345000       0.971790
    14938.443000       0.979696
    14940.542000       0.985941
    14942.640000       0.990815
    14944.739000       0.994513
    14946.839000       0.997167
    14948.939000       0.998884
    14951.040000       0.999780
    14953.143000       1.000000
    14955.245000       0.999724
    14957.347000       0.999159
    14959.450000       0.998514
    14961.554000       0.997974
    14963.660000       0.997673
    14965.765000       0.997669
    14967.870000       0.997945
    14969.976000       0.998409
    14972.083000       0.998926
    14974.190000       0.999344
    14976.300000       0.999532
    14978.408000       0.999410
    14980.517000       0.998965
    14982.627000       0.998255
    14984.737000       0.997401
    14986.849000       0.996556
    14988.961000       0.995871
    14991.073000       0.995465
    14993.186000       0.995399
    14995.299000       0.995659
    14997.413000       0.996163
    14999.529000       0.996779
    15001.644000       0.997350
    15003.759000       0.997731
    15005.875000       0.997810
    15007.992000       0.997565
    15010.111000       0.997030
    15012.229000       0.996306
    15014.348000       0.995530
    15016.467000       0.994851
    15018.587000       0.994394
    15020.707000       0.994231
    15022.829000       0.994367
    15024.951000       0.994737
    15027.073000       0.995158
    15029.196000       0.995498
    15031.320000       0.995667
    15033.445000       0.995558
    15035.570000       0.995128
    15037.695000       0.994401
    15039.821000       0.993469
    15041.947000       0.992465
    15044.075000       0.991540
    15046.203000       0.990826
    15048.331000       0.990408
    15050.460000       0.990297
    15052.589000       0.990450
    15054.719000       0.990758
    15056.851000       0.991076
    15058.983000       0.991259
    15061.115000       0.991191
    15063.247000       0.990810
    15065.380000       0.990126
    15067.515000       0.989211
    15069.649000       0.988192
    15071.784000       0.987211
    15073.920000       0.986401
    15076.056000       0.985852
    15078.192000       0.985584
    15080.331000       0.985544
    15082.469000       0.985606
    15084.607000       0.985594
    15086.746000       0.985304
    15088.886000       0.984535
    15091.028000       0.983109
    15093.169000       0.980879
    15095.310000       0.977727
    15097.452000       0.973541
    15099.595000       0.968185
    15101.739000       0.961465
    15103.884000       0.953098
    15106.028000       0.942691
    15108.174000       0.929751
    15110.319000       0.913703
    15112.466000       0.893938
    15114.614000       0.869878
    15116.762000       0.841047
    15118.910000       0.807143
    15121.059000       0.768098
    15123.208000       0.724116
    15125.358000       0.675686
    15127.510000       0.623568
    15129.662000       0.568747
    15131.814000       0.512370
    15133.966000       0.455666
    15136.119000       0.399861
    15138.274000       0.346103
    15140.429000       0.295388
    15142.584000       0.248516
    15144.739000       0.206060
    15146.895000       0.168355
    15149.052000       0.135515
    15151.211000       0.107454
    15153.369000       0.083924
    15155.528000       0.064556
    15157.687000       0.048905
    15159.847000       0.036484
    15162.009000       0.026802
    15164.170000       0.019387
    15166.332000       0.013809
    15168.494000       0.009685
    15170.657000       0.006688
    15172.822000       0.004547
    15174.986000       0.003044
    15177.151000       0.002006
    15179.316000       0.001302
    15181.482000       0.000832
    15183.649000       0.000523
    15185.818000       0.000324
    15187.986000       0.000198
    15190.154000       0.000119
    15192.323000       0.000070
    15194.493000       0.000041
    15196.665000       0.000023
    15198.836000       0.000013
    15201.007000       0.000007
    15203.180000       0.000004
    15205.353000       0.000002
    15207.526000       0.000001
    15209.702000       0.000001
    15211.876000       0.000000
    15214.052000       0.000000
    15216.228000       0.000000
    15218.404000       0.000000
    15220.583000       0.000000
    15222.761000       0.000000
    15224.939000       0.000000
    15227.118000       0.000000
    15229.298000       0.000000
    15231.478000       0.000000
    15233.661000       0.000000
