21, band 2 module 2 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    23714.276000       0.000000
    23719.549000       0.000000
    23724.825000       0.000000
    23730.103000       0.000000
    23735.385000       0.000000
    23740.668000       0.000000
    23745.953000       0.000000
    23751.241000       0.000000
    23756.532000       0.000000
    23761.824000       0.000000
    23767.119000       0.000000
    23772.416000       0.000000
    23777.717000       0.000000
    23783.018000       0.000000
    23788.322000       0.000000
    23793.629000       0.000000
    23798.937000       0.000001
    23804.250000       0.000001
    23809.564000       0.000003
    23814.879000       0.000005
    23820.198000       0.000011
    23825.520000       0.000021
    23830.843000       0.000039
    23836.168000       0.000072
    23841.496000       0.000131
    23846.828000       0.000233
    23852.160000       0.000408
    23857.495000       0.000697
    23862.832000       0.001170
    23868.174000       0.001923
    23873.516000       0.003100
    23878.860000       0.004897
    23884.207000       0.007582
    23889.558000       0.011509
    23894.910000       0.017126
    23900.264000       0.024981
    23905.620000       0.035720
    23910.981000       0.050069
    23916.342000       0.068802
    23921.705000       0.092690
    23927.072000       0.122431
    23932.440000       0.158566
    23937.813000       0.201387
    23943.186000       0.250851
    23948.561000       0.306528
    23953.940000       0.367522
    23959.322000       0.432477
    23964.705000       0.499656
    23970.090000       0.567043
    23975.478000       0.632497
    23980.870000       0.693948
    23986.262000       0.749593
    23991.657000       0.798082
    23997.055000       0.838648
    24002.457000       0.871174
    24007.859000       0.896150
    24013.264000       0.914621
    24018.671000       0.927965
    24024.082000       0.937692
    24029.494000       0.945218
    24034.909000       0.951682
    24040.326000       0.957814
    24045.747000       0.963892
    24051.169000       0.969795
    24056.593000       0.975116
    24062.020000       0.979332
    24067.449000       0.981976
    24072.882000       0.982828
    24078.316000       0.981959
    24083.753000       0.979766
    24089.192000       0.976904
    24094.635000       0.974160
    24100.079000       0.972290
    24105.525000       0.971857
    24110.974000       0.973114
    24116.427000       0.975951
    24121.881000       0.979904
    24127.337000       0.984285
    24132.796000       0.988324
    24138.259000       0.991323
    24143.722000       0.992823
    24149.188000       0.992699
    24154.657000       0.991186
    24160.130000       0.988827
    24165.603000       0.986350
    24171.079000       0.984501
    24176.558000       0.983876
    24182.041000       0.984504
    24187.524000       0.986603
    24193.010000       0.989808
    24198.499000       0.993470
    24203.991000       0.996823
    24209.485000       0.999163
    24214.981000       1.000000
    24220.479000       0.999176
    24225.980000       0.996902
    24231.485000       0.993711
    24236.991000       0.990130
    24242.500000       0.986536
    24248.010000       0.984205
    24253.526000       0.983504
    24259.042000       0.984438
    24264.560000       0.986644
    24270.081000       0.989475
    24275.606000       0.992139
    24281.132000       0.993879
    24286.661000       0.994142
    24292.192000       0.992705
    24297.727000       0.989673
    24303.263000       0.985565
    24308.802000       0.981152
    24314.343000       0.977242
    24319.888000       0.974536
    24325.435000       0.973466
    24330.983000       0.974100
    24336.535000       0.976125
    24342.090000       0.978914
    24347.646000       0.981670
    24353.205000       0.983595
    24358.767000       0.984060
    24364.331000       0.982790
    24369.899000       0.979883
    24375.468000       0.975800
    24381.039000       0.971268
    24386.614000       0.967117
    24392.192000       0.964096
    24397.771000       0.962700
    24403.353000       0.963063
    24408.937000       0.964922
    24414.526000       0.967669
    24420.115000       0.970482
    24425.707000       0.972530
    24431.302000       0.973115
    24436.901000       0.971833
    24442.501000       0.968647
    24448.103000       0.963870
    24453.708000       0.958065
    24459.317000       0.951869
    24464.927000       0.945789
    24470.539000       0.940010
    24476.154000       0.934240
    24481.774000       0.927691
    24487.394000       0.919113
    24493.017000       0.906922
    24498.642000       0.889435
    24504.270000       0.865116
    24509.903000       0.832821
    24515.536000       0.791994
    24521.172000       0.742780
    24526.810000       0.686040
    24532.453000       0.623272
    24538.097000       0.556298
    24543.743000       0.487551
    24549.392000       0.419332
    24555.045000       0.353765
    24560.699000       0.292637
    24566.355000       0.237288
    24572.014000       0.188565
    24577.678000       0.146828
    24583.342000       0.112012
    24589.009000       0.083711
    24594.679000       0.061268
    24600.353000       0.043897
    24606.028000       0.030806
    24611.705000       0.021173
    24617.386000       0.014253
    24623.070000       0.009397
    24628.755000       0.006067
    24634.443000       0.003837
    24640.134000       0.002376
    24645.827000       0.001441
    24651.525000       0.000856
    24657.223000       0.000498
    24662.924000       0.000284
    24668.628000       0.000158
    24674.336000       0.000086
    24680.046000       0.000046
    24685.757000       0.000024
    24691.472000       0.000012
    24697.190000       0.000006
    24702.910000       0.000003
    24708.632000       0.000001
    24714.357000       0.000001
    24720.087000       0.000000
    24725.817000       0.000000
    24731.550000       0.000000
    24737.285000       0.000000
    24743.025000       0.000000
    24748.766000       0.000000
    24754.510000       0.000000
    24760.256000       0.000000
    24766.007000       0.000000
    24771.758000       0.000000
    24777.512000       0.000000
    24783.269000       0.000000
    24789.029000       0.000000
    24794.793000       0.000000
    24800.558000       0.000000
    24806.325000       0.000000
    24812.096000       0.000000
