2, GCOM-C SGLI  IR channel 2 from file JAXA_GCOMC_SGLI_TIR_RSR_V5.csv
Number of data points:
801
Wavenumber (cm-1)   Filter response
      714.285700       0.000021
      714.540900       0.000022
      714.796300       0.000022
      715.051800       0.000022
      715.307600       0.000022
      715.563500       0.000023
      715.819600       0.000023
      716.075900       0.000023
      716.332400       0.000023
      716.589000       0.000024
      716.845900       0.000024
      717.102900       0.000024
      717.360100       0.000025
      717.617500       0.000025
      717.875100       0.000025
      718.132900       0.000026
      718.390800       0.000026
      718.648900       0.000026
      718.907300       0.000027
      719.165800       0.000027
      719.424500       0.000028
      719.683300       0.000028
      719.942400       0.000028
      720.201700       0.000029
      720.461100       0.000029
      720.720700       0.000030
      720.980500       0.000030
      721.240500       0.000031
      721.500700       0.000031
      721.761100       0.000032
      722.021700       0.000032
      722.282400       0.000033
      722.543400       0.000033
      722.804500       0.000034
      723.065800       0.000034
      723.327300       0.000035
      723.589000       0.000035
      723.850900       0.000036
      724.113000       0.000036
      724.375200       0.000037
      724.637700       0.000038
      724.900300       0.000038
      725.163200       0.000039
      725.426200       0.000040
      725.689400       0.000040
      725.952800       0.000041
      726.216400       0.000041
      726.480200       0.000042
      726.744200       0.000043
      727.008400       0.000044
      727.272700       0.000044
      727.537300       0.000045
      727.802000       0.000046
      728.067000       0.000047
      728.332100       0.000047
      728.597400       0.000048
      728.863000       0.000049
      729.128700       0.000050
      729.394600       0.000051
      729.660700       0.000052
      729.927000       0.000053
      730.193500       0.000053
      730.460200       0.000054
      730.727100       0.000055
      730.994200       0.000056
      731.261400       0.000057
      731.528900       0.000058
      731.796600       0.000059
      732.064400       0.000060
      732.332500       0.000061
      732.600700       0.000062
      732.869200       0.000063
      733.137800       0.000064
      733.406700       0.000065
      733.675700       0.000066
      733.945000       0.000067
      734.214400       0.000068
      734.484000       0.000069
      734.753900       0.000071
      735.023900       0.000072
      735.294100       0.000073
      735.564500       0.000075
      735.835200       0.000076
      736.106000       0.000077
      736.377000       0.000079
      736.648300       0.000080
      736.919700       0.000082
      737.191300       0.000083
      737.463100       0.000085
      737.735200       0.000086
      738.007400       0.000088
      738.279800       0.000090
      738.552400       0.000091
      738.825300       0.000093
      739.098300       0.000095
      739.371500       0.000097
      739.645000       0.000098
      739.918600       0.000100
      740.192500       0.000102
      740.466500       0.000104
      740.740700       0.000106
      741.015200       0.000108
      741.289800       0.000110
      741.564700       0.000112
      741.839800       0.000114
      742.115000       0.000117
      742.390500       0.000119
      742.666200       0.000121
      742.942100       0.000123
      743.218100       0.000126
      743.494400       0.000128
      743.770900       0.000131
      744.047600       0.000133
      744.324500       0.000136
      744.601600       0.000138
      744.879000       0.000141
      745.156500       0.000144
      745.434200       0.000147
      745.712200       0.000150
      745.990300       0.000153
      746.268700       0.000156
      746.547200       0.000159
      746.826000       0.000162
      747.105000       0.000166
      747.384200       0.000169
      747.663600       0.000172
      747.943200       0.000176
      748.223000       0.000179
      748.503000       0.000183
      748.783200       0.000186
      749.063700       0.000190
      749.344300       0.000194
      749.625200       0.000198
      749.906300       0.000202
      750.187500       0.000206
      750.469000       0.000210
      750.750800       0.000215
      751.032700       0.000219
      751.314800       0.000224
      751.597100       0.000229
      751.879700       0.000234
      752.162500       0.000239
      752.445400       0.000245
      752.728600       0.000251
      753.012000       0.000257
      753.295700       0.000263
      753.579500       0.000270
      753.863600       0.000277
      754.147800       0.000284
      754.432300       0.000291
      754.717000       0.000298
      755.001900       0.000306
      755.287000       0.000314
      755.572300       0.000322
      755.857900       0.000330
      756.143700       0.000338
      756.429700       0.000347
      756.715900       0.000356
      757.002300       0.000365
      757.288900       0.000375
      757.575800       0.000385
      757.862800       0.000395
      758.150100       0.000406
      758.437600       0.000417
      758.725300       0.000428
      759.013300       0.000440
      759.301400       0.000452
      759.589800       0.000464
      759.878400       0.000477
      760.167200       0.000490
      760.456300       0.000504
      760.745500       0.000518
      761.035000       0.000533
      761.324700       0.000548
      761.614600       0.000564
      761.904800       0.000580
      762.195100       0.000597
      762.485700       0.000614
      762.776500       0.000631
      763.067500       0.000650
      763.358800       0.000669
      763.650200       0.000689
      763.941900       0.000709
      764.233900       0.000731
      764.526000       0.000753
      764.818400       0.000776
      765.110900       0.000799
      765.403800       0.000824
      765.696800       0.000850
      765.990000       0.000876
      766.283500       0.000903
      766.577200       0.000932
      766.871200       0.000961
      767.165300       0.000991
      767.459700       0.001023
      767.754300       0.001055
      768.049200       0.001088
      768.344200       0.001123
      768.639500       0.001158
      768.935000       0.001195
      769.230800       0.001233
      769.526700       0.001271
      769.822900       0.001310
      770.119400       0.001350
      770.416000       0.001392
      770.712900       0.001435
      771.010000       0.001480
      771.307400       0.001526
      771.604900       0.001574
      771.902700       0.001623
      772.200800       0.001675
      772.499000       0.001729
      772.797500       0.001785
      773.096300       0.001844
      773.395200       0.001904
      773.694400       0.001968
      773.993800       0.002033
      774.293500       0.002102
      774.593300       0.002173
      774.893500       0.002247
      775.193800       0.002324
      775.494400       0.002403
      775.795200       0.002485
      776.096200       0.002570
      776.397500       0.002659
      776.699000       0.002752
      777.000800       0.002848
      777.302800       0.002949
      777.605000       0.003054
      777.907400       0.003164
      778.210100       0.003278
      778.513000       0.003439
      778.816200       0.003624
      779.119600       0.003833
      779.423200       0.004063
      779.727100       0.004315
      780.031200       0.004585
      780.335500       0.004873
      780.640100       0.005178
      780.944900       0.005498
      781.250000       0.005831
      781.555300       0.006176
      781.860800       0.006532
      782.166600       0.006897
      782.472600       0.007270
      782.778900       0.007650
      783.085400       0.008034
      783.392100       0.008422
      783.699100       0.008813
      784.006300       0.009204
      784.313700       0.009594
      784.621400       0.009983
      784.929400       0.010368
      785.237500       0.010793
      785.546000       0.011219
      785.854600       0.011646
      786.163500       0.012075
      786.472700       0.012504
      786.782100       0.012935
      787.091700       0.013367
      787.401600       0.013801
      787.711700       0.014226
      788.022100       0.015003
      788.332700       0.015854
      788.643500       0.016706
      788.954600       0.017559
      789.266000       0.018412
      789.577600       0.019267
      789.889400       0.020121
      790.201500       0.020976
      790.513800       0.021831
      790.826400       0.022686
      791.139200       0.023541
      791.452300       0.024396
      791.765600       0.025556
      792.079200       0.027120
      792.393000       0.028685
      792.707100       0.030252
      793.021400       0.031820
      793.336000       0.033391
      793.650800       0.034963
      793.965900       0.036539
      794.281200       0.038117
      794.596700       0.039698
      794.912600       0.041282
      795.228600       0.042868
      795.544900       0.044866
      795.861500       0.049135
      796.178300       0.053411
      796.495400       0.057693
      796.812700       0.061984
      797.130300       0.066282
      797.448200       0.070590
      797.766300       0.074906
      798.084600       0.079233
      798.403200       0.083570
      798.722000       0.087918
      799.041200       0.092277
      799.360500       0.096649
      799.680100       0.104939
      800.000000       0.113278
      800.320100       0.121645
      800.640500       0.130036
      800.961200       0.138453
      801.282100       0.146895
      801.603200       0.155365
      801.924600       0.163861
      802.246300       0.172386
      802.568200       0.180939
      802.890400       0.189520
      803.212900       0.198127
      803.535600       0.211401
      803.858500       0.224960
      804.181700       0.238553
      804.505200       0.252183
      804.829000       0.265845
      805.153000       0.279532
      805.477200       0.293245
      805.801800       0.306982
      806.126600       0.320738
      806.451600       0.334509
      806.776900       0.348282
      807.102500       0.362188
      807.428300       0.381441
      807.754400       0.400717
      808.080800       0.420022
      808.407400       0.439351
      808.734300       0.458705
      809.061500       0.478092
      809.388900       0.497510
      809.716600       0.516958
      810.044600       0.536442
      810.372800       0.555961
      810.701300       0.575514
      811.030000       0.594294
      811.359000       0.610012
      811.688300       0.625757
      812.017900       0.641530
      812.347700       0.657331
      812.677800       0.673159
      813.008100       0.689017
      813.338800       0.704627
      813.669700       0.720253
      814.000800       0.735896
      814.332200       0.751558
      814.664000       0.767237
      814.995900       0.775556
      815.328200       0.776647
      815.660700       0.777737
      815.993500       0.778827
      816.326500       0.779913
      816.659900       0.780998
      816.993500       0.782085
      817.327300       0.783172
      817.661500       0.784262
      817.995900       0.785361
      818.330600       0.786474
      818.665600       0.787596
      819.000800       0.785366
      819.336300       0.782825
      819.672100       0.780289
      820.008200       0.777087
      820.344500       0.773879
      820.681200       0.770659
      821.018100       0.767400
      821.355200       0.764097
      821.692700       0.760756
      822.030400       0.757367
      822.368400       0.753921
      822.706700       0.752811
      823.045300       0.754837
      823.384100       0.756826
      823.723200       0.758791
      824.062600       0.760773
      824.402300       0.762767
      824.742300       0.764775
      825.082500       0.766819
      825.423000       0.768905
      825.763800       0.771018
      826.104900       0.773144
      826.446300       0.775400
      826.787900       0.778492
      827.129900       0.781547
      827.472100       0.784572
      827.814600       0.787565
      828.157300       0.790514
      828.500400       0.793415
      828.843800       0.796291
      829.187400       0.799160
      829.531300       0.802007
      829.875500       0.804865
      830.220000       0.807761
      830.564800       0.815388
      830.909800       0.824330
      831.255200       0.833302
      831.600800       0.842301
      831.946800       0.851308
      832.293000       0.860320
      832.639500       0.869343
      832.986300       0.878346
      833.333300       0.887321
      833.680700       0.898585
      834.028400       0.909868
      834.376300       0.917233
      834.724500       0.922181
      835.073100       0.927147
      835.421900       0.932128
      835.771000       0.937129
      836.120400       0.942162
      836.470100       0.947229
      836.820100       0.952323
      837.170400       0.957439
      837.520900       0.962583
      837.871800       0.967735
      838.223000       0.970944
      838.574400       0.972599
      838.926200       0.974225
      839.278200       0.975807
      839.630600       0.977353
      839.983200       0.978859
      840.336100       0.980320
      840.689400       0.984963
      841.042900       0.989592
