67, band 5 module 3 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    19265.111000       0.000000
    19268.607000       0.000000
    19272.106000       0.000000
    19275.607000       0.000000
    19279.107000       0.000000
    19282.610000       0.000001
    19286.112000       0.000001
    19289.618000       0.000002
    19293.126000       0.000004
    19296.632000       0.000007
    19300.141000       0.000011
    19303.652000       0.000019
    19307.162000       0.000030
    19310.676000       0.000048
    19314.188000       0.000077
    19317.704000       0.000121
    19321.222000       0.000188
    19324.738000       0.000288
    19328.258000       0.000437
    19331.779000       0.000655
    19335.300000       0.000970
    19338.823000       0.001421
    19342.346000       0.002057
    19345.872000       0.002942
    19349.400000       0.004161
    19352.927000       0.005817
    19356.457000       0.008037
    19359.988000       0.010977
    19363.519000       0.014821
    19367.053000       0.019780
    19370.586000       0.026096
    19374.123000       0.034036
    19377.661000       0.043888
    19381.198000       0.055949
    19384.738000       0.070521
    19388.280000       0.087891
    19391.821000       0.108318
    19395.365000       0.132016
    19398.911000       0.159132
    19402.456000       0.189734
    19406.004000       0.223790
    19409.551000       0.261162
    19413.102000       0.301593
    19416.654000       0.344712
    19420.205000       0.390039
    19423.760000       0.437000
    19427.316000       0.484945
    19430.871000       0.533179
    19434.430000       0.580988
    19437.988000       0.627677
    19441.549000       0.672597
    19445.112000       0.715176
    19448.673000       0.754939
    19452.239000       0.791529
    19455.805000       0.824710
    19459.371000       0.854367
    19462.940000       0.880499
    19466.508000       0.903205
    19470.080000       0.922664
    19473.653000       0.939112
    19477.225000       0.952826
    19480.801000       0.964099
    19484.378000       0.973231
    19487.954000       0.980509
    19491.533000       0.986206
    19495.114000       0.990572
    19498.694000       0.993832
    19502.278000       0.996191
    19505.860000       0.997829
    19509.446000       0.998904
    19513.034000       0.999551
    19516.621000       0.999886
    19520.211000       1.000000
    19523.802000       0.999965
    19527.393000       0.999831
    19530.987000       0.999630
    19534.581000       0.999379
    19538.177000       0.999083
    19541.774000       0.998743
    19545.373000       0.998356
    19548.973000       0.997921
    19552.574000       0.997441
    19556.176000       0.996926
    19559.781000       0.996389
    19563.386000       0.995844
    19566.992000       0.995306
    19570.599000       0.994785
    19574.210000       0.994286
    19577.820000       0.993807
    19581.431000       0.993343
    19585.044000       0.992880
    19588.660000       0.992394
    19592.275000       0.991885
    19595.892000       0.991347
    19599.512000       0.990781
    19603.131000       0.990193
    19606.752000       0.989594
    19610.374000       0.989000
    19613.999000       0.988425
    19617.624000       0.987882
    19621.250000       0.987375
    19624.878000       0.986910
    19628.508000       0.986489
    19632.138000       0.986085
    19635.770000       0.985683
    19639.403000       0.985269
    19643.038000       0.984832
    19646.674000       0.984368
    19650.311000       0.983879
    19653.949000       0.983373
    19657.590000       0.982863
    19661.231000       0.982364
    19664.874000       0.981886
    19668.518000       0.981438
    19672.164000       0.981020
    19675.810000       0.980627
    19679.458000       0.980248
    19683.107000       0.979866
    19686.759000       0.979468
    19690.411000       0.979038
    19694.064000       0.978570
    19697.720000       0.978059
    19701.376000       0.977506
    19705.033000       0.976913
    19708.692000       0.976282
    19712.353000       0.975607
    19716.014000       0.974871
    19719.677000       0.974044
    19723.341000       0.973076
    19727.008000       0.971898
    19730.675000       0.970421
    19734.343000       0.968535
    19738.012000       0.966110
    19741.684000       0.962993
    19745.357000       0.959014
    19749.030000       0.953978
    19752.705000       0.947670
    19756.383000       0.939853
    19760.061000       0.930268
    19763.740000       0.918640
    19767.420000       0.904687
    19771.103000       0.888129
    19774.787000       0.868705
    19778.471000       0.846191
    19782.157000       0.820420
    19785.846000       0.791303
    19789.534000       0.758848
    19793.225000       0.723169
    19796.916000       0.684500
    19800.610000       0.643192
    19804.304000       0.599704
    19808.000000       0.554591
    19811.698000       0.508478
    19815.397000       0.462033
    19819.096000       0.415941
    19822.797000       0.370865
    19826.501000       0.327422
    19830.205000       0.286156
    19833.910000       0.247519
    19837.617000       0.211858
    19841.326000       0.179408
    19845.036000       0.150291
    19848.747000       0.124528
    19852.459000       0.102046
    19856.174000       0.082696
    19859.889000       0.066265
    19863.605000       0.052502
    19867.323000       0.041127
    19871.043000       0.031851
    19874.764000       0.024386
    19878.486000       0.018457
    19882.209000       0.013809
    19885.935000       0.010213
    19889.661000       0.007466
    19893.389000       0.005395
    19897.118000       0.003853
    19900.849000       0.002720
    19904.581000       0.001898
    19908.314000       0.001309
    19912.050000       0.000892
    19915.786000       0.000601
    19919.523000       0.000400
    19923.262000       0.000264
    19927.003000       0.000171
    19930.745000       0.000110
    19934.488000       0.000070
    19938.232000       0.000044
    19941.979000       0.000027
    19945.726000       0.000017
    19949.475000       0.000010
    19953.225000       0.000006
    19956.978000       0.000004
    19960.730000       0.000002
    19964.485000       0.000001
    19968.240000       0.000001
    19971.998000       0.000000
    19975.757000       0.000000
    19979.517000       0.000000
    19983.278000       0.000000
    19987.042000       0.000000
