5, INSAT-3DR Imager  Long Wave Infared Window (TIR-1) (10.3-11.3mu)
Number of data points:
68
Wavenumber (cm-1)   Filter response
      871.080100       0.000000
      872.600300       0.010000
      874.125900       0.030000
      875.656700       0.053400
      877.193000       0.122800
      878.734600       0.125000
      880.281700       0.170500
      881.834200       0.261800
      883.392200       0.483900
      884.955800       0.609600
      886.524800       0.714100
      888.099500       0.805500
      889.679700       0.874200
      891.265600       0.931700
      892.857100       0.918700
      894.454400       1.000000
      896.057300       0.994300
      897.666100       0.994400
      899.280600       0.995100
      900.900900       0.981700
      902.527100       0.976500
      904.159100       0.966900
      905.797100       0.958200
      907.441000       0.962200
      909.090900       0.945300
      910.746800       0.942900
      912.408800       0.966400
      914.076800       0.962700
      915.750900       0.966300
      917.431200       0.964200
      919.117600       0.954500
      920.810300       0.968300
      922.509200       0.965500
      924.214400       0.953900
      925.925900       0.960300
      927.643800       0.971000
      929.368000       0.968500
      931.098700       0.965800
      932.835800       0.967500
      934.579400       0.969300
      936.329600       0.972300
      938.086300       0.979700
      939.849600       0.969000
      941.619600       0.961600
      943.396200       0.963500
      945.179600       0.952600
      946.969700       0.945300
      948.766600       0.940900
      950.570300       0.938100
      952.381000       0.945500
      954.198500       0.969800
      956.022900       0.969200
      957.854400       0.963300
      959.692900       0.956000
      961.538500       0.925300
      963.391100       0.856400
      965.251000       0.789300
      967.118000       0.672200
      968.992200       0.563100
      970.873800       0.455000
      972.762600       0.343100
      974.658900       0.244700
      976.562500       0.164300
      978.473600       0.101400
      980.392200       0.059900
      982.318300       0.034500
      984.252000       0.020000
      986.193300       0.000000
