12, Band_11 ;SRF extracted from  http://asterweb.jpl.nasa.gov/content/01_mission/03_instrument/archive/tir.txt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     1068.376068       0.000000
     1069.518717       0.000200
     1070.663812       0.000500
     1071.811361       0.000600
     1072.961373       0.000800
     1074.113856       0.000900
     1075.268817       0.001100
     1076.426265       0.001200
     1077.586207       0.000600
     1078.748652       0.000700
     1079.913607       0.000500
     1081.081081       0.000900
     1082.251082       0.000700
     1083.423619       0.001200
     1084.598698       0.000900
     1085.776330       0.001500
     1086.956522       0.001900
     1088.139282       0.001900
     1089.324619       0.002500
     1090.512541       0.002500
     1091.703057       0.002600
     1092.896175       0.002700
     1094.091904       0.002300
     1095.290252       0.002400
     1096.491228       0.002100
     1097.694841       0.002100
     1098.901099       0.002000
     1100.110011       0.001800
     1101.321586       0.001800
     1102.535832       0.001600
     1103.752759       0.001700
     1104.972376       0.001800
     1106.194690       0.001600
     1107.419712       0.002000
     1108.647450       0.002400
     1109.877913       0.003500
     1111.111111       0.004100
     1112.347052       0.005800
     1113.585746       0.007500
     1114.827202       0.007500
     1116.071429       0.008600
     1117.318436       0.009300
     1118.568233       0.010700
     1119.820829       0.011700
     1121.076233       0.013100
     1122.334456       0.014300
     1123.595506       0.015800
     1124.859393       0.018700
     1126.126126       0.022900
     1127.395716       0.029900
     1128.668172       0.041200
     1129.943503       0.065200
     1131.221719       0.108600
     1132.502831       0.177800
     1133.786848       0.276700
     1135.073780       0.381500
     1136.363636       0.508800
     1137.656428       0.644600
     1138.952164       0.773000
     1140.250855       0.875100
     1141.552511       0.932900
     1142.857143       0.974800
     1144.164760       0.994900
     1145.475372       1.000000
     1146.788991       0.988100
     1148.105626       0.955500
     1149.425287       0.938700
     1150.747986       0.941200
     1152.073733       0.954600
     1153.402537       0.962600
     1154.734411       0.961100
     1156.069364       0.954300
     1157.407407       0.964000
     1158.748552       0.966500
     1160.092807       0.951100
     1161.440186       0.915500
     1162.790698       0.887900
     1164.144354       0.870100
     1165.501166       0.863200
     1166.861144       0.857600
     1168.224299       0.853500
     1169.590643       0.857700
     1170.960187       0.884700
     1172.332943       0.912800
     1173.708920       0.919500
     1175.088132       0.900400
     1176.470588       0.873800
     1177.856302       0.832000
     1179.245283       0.770200
     1180.637544       0.675700
     1182.033097       0.556700
     1183.431953       0.434500
     1184.834123       0.316100
     1186.239620       0.217400
     1187.648456       0.141700
     1189.060642       0.086500
     1190.476190       0.048800
     1191.895113       0.024700
     1193.317422       0.010100
     1194.743130       0.002300
     1196.172249       0.000000
