8, INSAT-3D Sounder  MWIR-1
Number of data points:
82
Wavenumber (cm-1)   Filter response
      861.697500       0.000000
      862.812800       0.001000
      863.930900       0.005000
      865.051900       0.010000
      866.175800       0.020000
      867.302700       0.030000
      868.432500       0.040000
      869.565200       0.050000
      870.700900       0.060000
      871.839600       0.080000
      872.981200       0.103600
      874.125900       0.109200
      875.273500       0.142700
      876.424200       0.180900
      877.577900       0.221200
      878.734600       0.253200
      879.894400       0.291500
      881.057300       0.344300
      882.223200       0.389800
      883.392200       0.456900
      884.564400       0.509000
      885.739600       0.565600
      886.918000       0.622200
      888.099500       0.671800
      889.284100       0.735000
      890.472000       0.779900
      891.663000       0.823100
      892.857100       0.859700
      894.054500       0.883200
      895.255100       0.909800
      896.459000       0.933500
      897.666100       0.949500
      898.876400       0.961500
      900.090000       0.981100
      901.306900       0.975100
      902.527100       0.977100
      903.750600       0.985600
      904.977400       0.995800
      906.207500       0.978800
      907.441000       0.981700
      908.677900       0.987100
      909.918100       0.985500
      911.161700       0.986500
      912.408800       0.999800
      913.659200       1.000000
      914.913100       0.993600
      916.170400       0.996500
      917.431200       0.997800
      918.695500       0.986000
      919.963200       0.986600
      921.234500       0.968400
      922.509200       0.947900
      923.787500       0.911900
      925.069400       0.882500
      926.354800       0.843000
      927.643800       0.795100
      928.936400       0.752700
      930.232600       0.680200
      931.532400       0.606600
      932.835800       0.551100
      934.142900       0.483600
      935.453700       0.424300
      936.768100       0.363500
      938.086300       0.310000
      939.408200       0.263500
      940.733800       0.216000
      942.063100       0.174900
      943.396200       0.157100
      944.733100       0.126500
      946.073800       0.107100
      947.418300       0.090000
      948.766600       0.080000
      950.118800       0.070000
      951.474800       0.060000
      952.834700       0.050000
      954.198500       0.040000
      955.566200       0.030000
      956.937800       0.020000
      958.313400       0.010000
      959.692900       0.005000
      961.076400       0.001000
      962.463900       0.000000
