6, INSAT-3DS-Imager-SRF-Ch6.txt  channel 6 SRF
Number of data points:
260
Wavenumber (cm-1)   Filter response
      791.452300       0.000000
      791.765600       0.007148
      792.079200       0.009054
      792.393000       0.010960
      792.707100       0.012865
      793.021400       0.014771
      793.336000       0.016677
      793.650800       0.018583
      793.965900       0.019847
      794.281200       0.021112
      794.596700       0.022376
      794.912600       0.023641
      795.228600       0.024905
      795.544900       0.026170
      795.861500       0.039205
      796.178300       0.052241
      796.495400       0.065277
      796.812700       0.078313
      797.130300       0.091349
      797.448200       0.104385
      797.766300       0.134087
      798.084600       0.163789
      798.403200       0.193491
      798.722000       0.223193
      799.041200       0.252895
      799.360500       0.282596
      799.680100       0.328835
      800.000000       0.375073
      800.320100       0.421311
      800.640500       0.467549
      800.961200       0.513787
      801.282100       0.560026
      801.603200       0.572058
      801.924600       0.584090
      802.246300       0.596122
      802.568200       0.608154
      802.890400       0.620186
      803.212900       0.632218
      803.535600       0.660236
      803.858500       0.688254
      804.181700       0.716272
      804.505200       0.744290
      804.829000       0.772308
      805.153000       0.800326
      805.477200       0.783024
      805.801800       0.765722
      806.126600       0.748421
      806.451600       0.731119
      806.776900       0.713817
      807.102500       0.696515
      807.428300       0.688346
      807.754400       0.680177
      808.080800       0.672007
      808.407400       0.663838
      808.734300       0.655668
      809.061500       0.647499
      809.388900       0.660021
      809.716600       0.672544
      810.044600       0.685066
      810.372800       0.697588
      810.701300       0.710111
      811.030000       0.722633
      811.359000       0.735553
      811.688300       0.748473
      812.017900       0.761393
      812.347700       0.774313
      812.677800       0.787233
      813.008100       0.800153
      813.338800       0.802751
      813.669700       0.805350
      814.000800       0.807949
      814.332200       0.810548
      814.664000       0.813147
      814.995900       0.815746
      815.328200       0.810607
      815.660700       0.805467
      815.993500       0.800328
      816.326500       0.795189
      816.659900       0.790049
      816.993500       0.784910
      817.327300       0.785803
      817.661500       0.786696
      817.995900       0.787589
      818.330600       0.788482
      818.665600       0.789375
      819.000800       0.790268
      819.336300       0.803979
      819.672100       0.817689
      820.008200       0.831400
      820.344500       0.845110
      820.681200       0.858821
      821.018100       0.872531
      821.355200       0.862419
      821.692700       0.852307
      822.030400       0.842195
      822.368400       0.832082
      822.706700       0.821970
      823.045300       0.811858
      823.384100       0.815831
      823.723200       0.819804
      824.062600       0.823778
      824.402300       0.827751
      824.742300       0.831724
      825.082500       0.835698
      825.423000       0.852720
