52, band 4 module 3 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    20037.360000       0.000000
    20041.144000       0.000000
    20044.930000       0.000000
    20048.717000       0.000000
    20052.507000       0.000000
    20056.297000       0.000001
    20060.088000       0.000001
    20063.881000       0.000002
    20067.677000       0.000004
    20071.473000       0.000006
    20075.270000       0.000011
    20079.070000       0.000017
    20082.870000       0.000028
    20086.672000       0.000046
    20090.475000       0.000073
    20094.280000       0.000115
    20098.086000       0.000180
    20101.893000       0.000277
    20105.702000       0.000421
    20109.514000       0.000632
    20113.325000       0.000939
    20117.138000       0.001379
    20120.953000       0.002000
    20124.770000       0.002869
    20128.588000       0.004066
    20132.406000       0.005696
    20136.227000       0.007886
    20140.050000       0.010792
    20143.873000       0.014597
    20147.698000       0.019516
    20151.524000       0.025792
    20155.353000       0.033693
    20159.182000       0.043511
    20163.012000       0.055549
    20166.844000       0.070110
    20170.679000       0.087487
    20174.514000       0.107945
    20178.350000       0.131701
    20182.188000       0.158907
    20186.028000       0.189633
    20189.869000       0.223847
    20193.711000       0.261411
    20197.556000       0.302064
    20201.401000       0.345431
    20205.248000       0.391022
    20209.096000       0.438253
    20212.947000       0.486464
    20216.798000       0.534948
    20220.650000       0.582981
    20224.504000       0.629856
    20228.360000       0.674918
    20232.217000       0.717587
    20236.076000       0.757388
    20239.935000       0.793963
    20243.798000       0.827081
    20247.661000       0.856633
    20251.525000       0.882627
    20255.391000       0.905170
    20259.259000       0.924449
    20263.128000       0.940712
    20266.998000       0.954241
    20270.869000       0.965336
    20274.744000       0.974298
    20278.618000       0.981419
    20282.494000       0.986972
    20286.372000       0.991205
    20290.252000       0.994345
    20294.132000       0.996594
    20298.014000       0.998132
    20301.898000       0.999116
    20305.784000       0.999683
    20309.670000       0.999947
    20313.558000       1.000000
    20317.448000       0.999913
    20321.340000       0.999735
    20325.232000       0.999497
    20329.126000       0.999216
    20333.023000       0.998894
    20336.920000       0.998530
    20340.818000       0.998121
    20344.718000       0.997676
    20348.620000       0.997194
    20352.523000       0.996681
    20356.428000       0.996149
    20360.333000       0.995617
    20364.242000       0.995099
    20368.151000       0.994608
    20372.061000       0.994150
    20375.973000       0.993722
    20379.888000       0.993317
    20383.802000       0.992923
    20387.719000       0.992845
    20391.637000       0.992746
    20395.557000       0.992618
    20399.478000       0.992459
    20403.401000       0.992274
    20407.324000       0.992072
    20411.251000       0.991870
    20415.178000       0.991681
    20419.106000       0.991518
    20423.036000       0.991389
    20426.969000       0.991253
    20430.902000       0.991084
    20434.836000       0.990927
    20438.772000       0.990766
    20442.711000       0.990586
    20446.650000       0.990376
    20450.591000       0.990132
    20454.534000       0.989857
    20458.478000       0.989561
    20462.423000       0.989258
    20466.369000       0.988963
    20470.319000       0.988691
    20474.268000       0.988450
    20478.220000       0.988241
    20482.172000       0.988059
    20486.128000       0.987892
    20490.084000       0.987722
    20494.041000       0.987534
    20498.000000       0.987314
    20501.961000       0.987052
    20505.923000       0.986746
    20509.887000       0.986396
    20513.852000       0.986006
    20517.819000       0.985581
    20521.787000       0.985116
    20525.757000       0.984597
    20529.728000       0.983993
    20533.702000       0.983257
    20537.676000       0.982319
    20541.652000       0.981089
    20545.629000       0.979456
    20549.609000       0.977289
    20553.590000       0.974433
    20557.571000       0.970717
    20561.555000       0.965945
    20565.541000       0.959897
    20569.528000       0.952333
    20573.516000       0.942988
    20577.507000       0.931580
    20581.498000       0.917815
    20585.490000       0.901401
    20589.485000       0.882062
    20593.482000       0.859561
    20597.479000       0.833714
    20601.478000       0.804421
    20605.478000       0.771678
    20609.482000       0.735595
    20613.485000       0.696404
    20617.490000       0.654461
    20621.497000       0.610237
    20625.507000       0.564302
    20629.516000       0.517300
    20633.528000       0.469926
    20637.541000       0.422886
    20641.556000       0.376870
    20645.572000       0.332517
    20649.590000       0.290393
    20653.609000       0.250967
    20657.631000       0.214595
    20661.653000       0.181521
    20665.677000       0.151871
    20669.703000       0.125663
    20673.731000       0.102821
    20677.760000       0.083186
    20681.790000       0.066541
    20685.821000       0.052620
    20689.856000       0.041136
    20693.891000       0.031790
    20697.927000       0.024283
    20701.966000       0.018335
    20706.006000       0.013683
    20710.047000       0.010093
    20714.090000       0.007358
    20718.136000       0.005301
    20722.181000       0.003775
    20726.229000       0.002657
    20730.278000       0.001848
    20734.330000       0.001270
    20738.382000       0.000863
    20742.436000       0.000579
    20746.491000       0.000384
    20750.550000       0.000252
    20754.608000       0.000163
    20758.668000       0.000104
    20762.730000       0.000066
    20766.795000       0.000041
    20770.860000       0.000026
    20774.926000       0.000016
    20778.994000       0.000009
    20783.065000       0.000006
    20787.136000       0.000003
    20791.209000       0.000002
    20795.284000       0.000001
    20799.361000       0.000001
    20803.439000       0.000000
    20807.518000       0.000000
    20811.599000       0.000000
    20815.683000       0.000000
    20819.767000       0.000000
