103, band 7 module 5 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    15891.667000       0.000000
    15894.039000       0.000000
    15896.414000       0.000000
    15898.788000       0.000000
    15901.163000       0.000000
    15903.540000       0.000000
    15905.916000       0.000000
    15908.293000       0.000000
    15910.670000       0.000000
    15913.050000       0.000000
    15915.429000       0.000000
    15917.809000       0.000000
    15920.191000       0.000000
    15922.572000       0.000000
    15924.954000       0.000001
    15927.336000       0.000002
    15929.721000       0.000003
    15932.105000       0.000006
    15934.490000       0.000012
    15936.877000       0.000021
    15939.263000       0.000039
    15941.650000       0.000070
    15944.039000       0.000122
    15946.427000       0.000211
    15948.816000       0.000359
    15951.206000       0.000598
    15953.597000       0.000978
    15955.989000       0.001573
    15958.380000       0.002486
    15960.775000       0.003859
    15963.168000       0.005885
    15965.562000       0.008816
    15967.956000       0.012974
    15970.353000       0.018759
    15972.750000       0.026648
    15975.146000       0.037192
    15977.546000       0.051000
    15979.944000       0.068714
    15982.343000       0.090971
    15984.743000       0.118352
    15987.145000       0.151319
    15989.546000       0.190155
    15991.948000       0.234895
    15994.352000       0.285276
    15996.755000       0.340701
    15999.159000       0.400230
    16001.564000       0.462610
    16003.971000       0.526334
    16006.378000       0.589738
    16008.785000       0.651125
    16011.194000       0.708901
    16013.602000       0.761702
    16016.011000       0.808516
    16018.421000       0.848756
    16020.833000       0.882284
    16023.245000       0.909396
    16025.657000       0.930740
    16028.071000       0.947208
    16030.485000       0.959802
    16032.899000       0.969501
    16035.315000       0.977143
    16037.731000       0.983353
    16040.147000       0.988514
    16042.564000       0.992781
    16044.984000       0.996147
    16047.403000       0.998517
    16049.822000       0.999804
    16052.243000       1.000000
    16054.664000       0.999223
    16057.086000       0.997722
    16059.508000       0.995850
    16061.933000       0.994000
    16064.356000       0.992536
    16066.781000       0.991715
    16069.207000       0.991644
    16071.633000       0.992254
    16074.060000       0.993322
    16076.487000       0.994521
    16078.917000       0.995495
    16081.346000       0.995937
    16083.775000       0.995657
    16086.207000       0.994627
    16088.638000       0.992982
    16091.070000       0.991009
    16093.503000       0.989044
    16095.937000       0.987428
    16098.371000       0.986427
    16100.806000       0.986169
    16103.243000       0.986618
    16105.679000       0.987580
    16108.116000       0.988746
    16110.554000       0.989764
    16112.994000       0.990312
    16115.433000       0.990200
    16117.873000       0.989485
    16120.315000       0.988121
    16122.757000       0.986355
    16125.199000       0.984521
    16127.641000       0.982968
    16130.087000       0.981983
    16132.531000       0.981728
    16134.976000       0.982205
    16137.423000       0.983252
    16139.870000       0.984584
    16142.317000       0.985835
    16144.767000       0.986670
    16147.216000       0.986864
    16149.665000       0.986316
    16152.115000       0.985089
    16154.568000       0.983394
    16157.020000       0.981550
    16159.472000       0.979904
    16161.927000       0.978762
    16164.381000       0.978315
    16166.836000       0.978602
    16169.291000       0.979499
    16171.749000       0.980747
    16174.206000       0.982010
    16176.664000       0.982949
    16179.124000       0.983297
    16181.583000       0.982919
    16184.043000       0.981839
    16186.504000       0.980239
    16188.967000       0.978411
    16191.429000       0.976701
    16193.892000       0.975421
    16196.357000       0.974790
    16198.822000       0.974875
    16201.287000       0.975579
    16203.753000       0.976656
    16206.221000       0.977761
    16208.688000       0.978516
    16211.157000       0.978581
    16213.627000       0.977711
    16216.097000       0.975785
    16218.567000       0.972800
    16221.039000       0.968828
    16223.512000       0.963943
    16225.985000       0.958146
    16228.458000       0.951279
    16230.934000       0.942978
    16233.409000       0.932650
    16235.885000       0.919506
    16238.363000       0.902630
    16240.840000       0.881090
    16243.318000       0.854057
    16245.797000       0.820937
    16248.278000       0.781469
    16250.758000       0.735799
    16253.239000       0.684500
    16255.723000       0.628540
    16258.205000       0.569215
    16260.689000       0.508040
    16263.173000       0.446626
    16265.659000       0.386547
    16268.145000       0.329232
    16270.631000       0.275868
    16273.120000       0.227346
    16275.608000       0.184234
    16278.096000       0.146783
    16280.586000       0.114959
    16283.077000       0.088497
    16285.568000       0.066957
    16288.060000       0.049787
    16290.554000       0.036379
    16293.047000       0.026122
    16295.541000       0.018431
    16298.036000       0.012778
    16300.533000       0.008705
    16303.029000       0.005827
    16305.526000       0.003832
    16308.026000       0.002476
    16310.524000       0.001572
    16313.024000       0.000981
    16315.524000       0.000601
    16318.026000       0.000362
    16320.528000       0.000214
    16323.030000       0.000125
    16325.535000       0.000071
    16328.039000       0.000040
    16330.544000       0.000022
    16333.051000       0.000012
    16335.557000       0.000006
    16338.064000       0.000003
    16340.572000       0.000002
    16343.082000       0.000001
    16345.591000       0.000000
    16348.101000       0.000000
    16350.614000       0.000000
    16353.125000       0.000000
    16355.638000       0.000000
    16358.151000       0.000000
    16360.666000       0.000000
    16363.181000       0.000000
    16365.697000       0.000000
    16368.214000       0.000000
    16370.732000       0.000000
    16373.249000       0.000000
    16375.768000       0.000000
    16378.289000       0.000000
