184, band 13 module 2 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    13041.736000       0.000000
    13042.698000       0.000000
    13043.660000       0.000000
    13044.622000       0.000000
    13045.584000       0.000000
    13046.546000       0.000000
    13047.509000       0.000000
    13048.471000       0.000000
    13049.435000       0.000000
    13050.397000       0.000000
    13051.361000       0.000000
    13052.324000       0.000000
    13053.287000       0.000000
    13054.251000       0.000000
    13055.214000       0.000000
    13056.179000       0.000000
    13057.142000       0.000000
    13058.106000       0.000000
    13059.071000       0.000000
    13060.034000       0.000000
    13061.000000       0.000000
    13061.964000       0.000000
    13062.928000       0.000001
    13063.894000       0.000001
    13064.858000       0.000001
    13065.824000       0.000002
    13066.789000       0.000003
    13067.754000       0.000004
    13068.720000       0.000006
    13069.686000       0.000009
    13070.652000       0.000013
    13071.618000       0.000019
    13072.585000       0.000028
    13073.551000       0.000040
    13074.517000       0.000056
    13075.484000       0.000080
    13076.450000       0.000112
    13077.418000       0.000156
    13078.385000       0.000216
    13079.351000       0.000297
    13080.319000       0.000407
    13081.286000       0.000553
    13082.255000       0.000747
    13083.222000       0.001002
    13084.190000       0.001336
    13085.158000       0.001770
    13086.126000       0.002330
    13087.095000       0.003047
    13088.063000       0.003961
    13089.031000       0.005115
    13090.001000       0.006563
    13090.969000       0.008369
    13091.939000       0.010602
    13092.908000       0.013347
    13093.878000       0.016695
    13094.847000       0.020750
    13095.816000       0.025627
    13096.786000       0.031449
    13097.756000       0.038350
    13098.727000       0.046469
    13099.696000       0.055951
    13100.666000       0.066942
    13101.638000       0.079589
    13102.608000       0.094029
    13103.579000       0.110394
    13104.550000       0.128795
    13105.520000       0.149327
    13106.492000       0.172057
    13107.463000       0.197020
    13108.435000       0.224215
    13109.407000       0.253601
    13110.379000       0.285093
    13111.351000       0.318558
    13112.322000       0.353819
    13113.295000       0.390649
    13114.267000       0.428780
    13115.240000       0.467905
    13116.212000       0.507690
    13117.185000       0.547759
    13118.158000       0.587730
    13119.131000       0.627213
    13120.105000       0.665822
    13121.078000       0.703189
    13122.051000       0.738971
    13123.025000       0.772863
    13123.999000       0.804605
    13124.973000       0.833990
    13125.947000       0.860868
    13126.921000       0.885148
    13127.896000       0.906798
    13128.870000       0.925841
    13129.845000       0.942348
    13130.820000       0.956433
    13131.795000       0.968238
    13132.770000       0.977915
    13133.745000       0.985631
    13134.721000       0.991565
    13135.696000       0.995863
    13136.672000       0.998646
    13137.648000       1.000000
    13138.623000       0.999968
    13139.600000       0.998550
    13140.576000       0.995702
    13141.553000       0.991340
    13142.529000       0.985344
    13143.506000       0.977565
    13144.483000       0.967841
    13145.460000       0.956002
    13146.437000       0.941885
    13147.414000       0.925347
    13148.391000       0.906277
    13149.370000       0.884602
    13150.347000       0.860273
    13151.325000       0.833346
    13152.303000       0.803917
    13153.282000       0.772139
    13154.260000       0.738217
    13155.238000       0.702413
    13156.217000       0.665032
    13157.195000       0.626415
    13158.175000       0.586933
    13159.153000       0.546969
    13160.132000       0.506914
    13161.112000       0.467150
    13162.091000       0.428044
    13163.071000       0.389937
    13164.051000       0.353136
    13165.030000       0.317910
    13166.011000       0.284482
    13166.991000       0.253030
    13167.972000       0.223686
    13168.952000       0.196533
    13169.932000       0.171613
    13170.914000       0.148926
    13171.894000       0.128435
    13172.876000       0.110072
    13173.857000       0.093745
    13174.839000       0.079339
    13175.820000       0.066725
    13176.801000       0.055763
    13177.783000       0.046308
    13178.765000       0.038213
    13179.748000       0.031333
    13180.729000       0.025529
    13181.711000       0.020669
    13182.695000       0.016627
    13183.677000       0.013291
    13184.660000       0.010557
    13185.643000       0.008332
    13186.626000       0.006534
    13187.610000       0.005091
    13188.593000       0.003942
    13189.577000       0.003033
    13190.560000       0.002318
    13191.545000       0.001761
    13192.528000       0.001329
    13193.512000       0.000996
    13194.497000       0.000742
    13195.481000       0.000550
    13196.466000       0.000404
    13197.451000       0.000296
    13198.435000       0.000215
    13199.421000       0.000155
    13200.405000       0.000111
    13201.391000       0.000079
    13202.376000       0.000056
    13203.362000       0.000039
    13204.348000       0.000028
    13205.334000       0.000019
    13206.320000       0.000013
    13207.306000       0.000009
    13208.292000       0.000006
    13209.279000       0.000004
    13210.265000       0.000003
    13211.253000       0.000002
    13212.239000       0.000001
    13213.227000       0.000001
    13214.214000       0.000001
    13215.201000       0.000000
    13216.189000       0.000000
    13217.176000       0.000000
    13218.165000       0.000000
    13219.152000       0.000000
    13220.140000       0.000000
    13221.129000       0.000000
    13222.117000       0.000000
    13223.106000       0.000000
    13224.095000       0.000000
    13225.083000       0.000000
    13226.073000       0.000000
    13227.062000       0.000000
    13228.051000       0.000000
    13229.041000       0.000000
    13230.030000       0.000000
    13231.020000       0.000000
    13232.010000       0.000000
    13233.000000       0.000000
    13233.990000       0.000000
    13234.981000       0.000000
    13235.971000       0.000000
