111, band 8 module 2 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    14818.663000       0.000000
    14820.733000       0.000000
    14822.802000       0.000000
    14824.873000       0.000000
    14826.944000       0.000000
    14829.016000       0.000000
    14831.087000       0.000000
    14833.160000       0.000000
    14835.234000       0.000000
    14837.309000       0.000000
    14839.383000       0.000000
    14841.458000       0.000000
    14843.534000       0.000000
    14845.610000       0.000001
    14847.688000       0.000001
    14849.764000       0.000002
    14851.842000       0.000005
    14853.921000       0.000009
    14856.001000       0.000017
    14858.080000       0.000030
    14860.160000       0.000054
    14862.242000       0.000095
    14864.324000       0.000164
    14866.405000       0.000279
    14868.488000       0.000466
    14870.571000       0.000764
    14872.656000       0.001232
    14874.740000       0.001953
    14876.824000       0.003043
    14878.910000       0.004659
    14880.997000       0.007010
    14883.084000       0.010369
    14885.171000       0.015073
    14887.259000       0.021536
    14889.348000       0.030245
    14891.437000       0.041751
    14893.526000       0.056653
    14895.617000       0.075569
    14897.708000       0.099094
    14899.800000       0.127754
    14901.891000       0.161941
    14903.984000       0.201859
    14906.077000       0.247462
    14908.172000       0.298410
    14910.265000       0.354043
    14912.360000       0.413386
    14914.456000       0.475178
    14916.553000       0.537938
    14918.650000       0.600067
    14920.746000       0.659958
    14922.845000       0.716127
    14924.943000       0.767330
    14927.043000       0.812666
    14929.142000       0.851636
    14931.242000       0.884162
    14933.344000       0.910560
    14935.445000       0.931463
    14937.547000       0.947716
    14939.650000       0.960255
    14941.753000       0.969984
    14943.857000       0.977674
    14945.961000       0.983901
    14948.066000       0.989020
    14950.172000       0.993190
    14952.279000       0.996421
    14954.386000       0.998654
    14956.493000       0.999840
    14958.601000       1.000000
    14960.710000       0.999264
    14962.819000       0.997878
    14964.928000       0.996171
    14967.039000       0.994502
    14969.150000       0.993196
    14971.262000       0.992479
    14973.373000       0.992436
    14975.487000       0.992997
    14977.600000       0.993957
    14979.715000       0.995018
    14981.828000       0.995863
    14983.944000       0.996218
    14986.060000       0.995920
    14988.177000       0.994950
    14990.293000       0.993436
    14992.410000       0.991628
    14994.529000       0.989840
    14996.648000       0.988386
    14998.768000       0.987507
    15000.887000       0.987321
    15003.008000       0.987797
    15005.129000       0.988766
    15007.251000       0.989948
    15009.373000       0.991023
    15011.496000       0.991696
    15013.620000       0.991766
    15015.744000       0.991164
    15017.868000       0.989967
    15019.994000       0.988384
    15022.120000       0.986706
    15024.247000       0.985241
    15026.373000       0.984255
    15028.501000       0.983916
    15030.630000       0.984207
    15032.759000       0.984998
    15034.889000       0.986042
    15037.018000       0.987038
    15039.150000       0.987690
    15041.281000       0.987780
    15043.414000       0.987210
    15045.545000       0.986029
    15047.679000       0.984418
    15049.813000       0.982641
    15051.948000       0.981013
    15054.082000       0.979812
    15056.218000       0.979219
    15058.354000       0.979277
    15060.492000       0.979889
    15062.628000       0.980832
    15064.766000       0.981813
    15066.905000       0.982531
    15069.045000       0.982742
    15071.184000       0.982315
    15073.325000       0.981257
    15075.466000       0.979717
    15077.608000       0.977950
    15079.751000       0.976256
    15081.893000       0.974919
    15084.037000       0.974140
    15086.181000       0.973994
    15088.326000       0.974407
    15090.471000       0.975172
    15092.617000       0.975984
    15094.764000       0.976503
    15096.911000       0.976414
    15099.058000       0.975478
    15101.207000       0.973561
    15103.356000       0.970628
    15105.506000       0.966714
    15107.655000       0.961860
    15109.807000       0.956042
    15111.958000       0.949101
    15114.111000       0.940696
    15116.264000       0.930279
    15118.416000       0.917123
    15120.570000       0.900384
    15122.725000       0.879192
    15124.881000       0.852766
    15127.036000       0.820526
    15129.192000       0.782200
    15131.350000       0.737882
    15133.508000       0.688066
    15135.665000       0.633624
    15137.824000       0.575746
    15139.984000       0.515849
    15142.144000       0.455456
    15144.304000       0.396086
    15146.466000       0.339136
    15148.628000       0.285796
    15150.791000       0.236984
    15152.953000       0.193314
    15155.117000       0.155102
    15157.282000       0.122381
    15159.447000       0.094953
    15161.613000       0.072437
    15163.778000       0.054329
    15165.946000       0.040059
    15168.113000       0.029037
    15170.282000       0.020690
    15172.450000       0.014492
    15174.619000       0.009978
    15176.790000       0.006752
    15178.961000       0.004492
    15181.131000       0.002937
    15183.303000       0.001887
    15185.476000       0.001192
    15187.649000       0.000740
    15189.822000       0.000452
    15191.996000       0.000271
    15194.172000       0.000160
    15196.348000       0.000093
    15198.524000       0.000053
    15200.700000       0.000030
    15202.878000       0.000016
    15205.056000       0.000009
    15207.235000       0.000005
    15209.413000       0.000002
    15211.594000       0.000001
    15213.775000       0.000001
    15215.956000       0.000000
    15218.137000       0.000000
    15220.320000       0.000000
    15222.503000       0.000000
    15224.687000       0.000000
    15226.871000       0.000000
    15229.056000       0.000000
    15231.242000       0.000000
    15233.428000       0.000000
    15235.614000       0.000000
    15237.802000       0.000000
    15239.990000       0.000000
    15242.179000       0.000000
