101, band 7 module 4 CCD column 374 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    15871.437000       0.000000
    15873.808000       0.000000
    15876.181000       0.000000
    15878.554000       0.000000
    15880.929000       0.000000
    15883.303000       0.000000
    15885.677000       0.000000
    15888.054000       0.000000
    15890.431000       0.000001
    15892.809000       0.000001
    15895.186000       0.000002
    15897.566000       0.000003
    15899.945000       0.000005
    15902.326000       0.000010
    15904.707000       0.000016
    15907.088000       0.000028
    15909.471000       0.000047
    15911.854000       0.000078
    15914.239000       0.000127
    15916.623000       0.000206
    15919.009000       0.000327
    15921.394000       0.000512
    15923.780000       0.000793
    15926.169000       0.001209
    15928.556000       0.001820
    15930.946000       0.002701
    15933.335000       0.003954
    15935.726000       0.005709
    15938.117000       0.008131
    15940.510000       0.011424
    15942.901000       0.015832
    15945.294000       0.021642
    15947.689000       0.029185
    15950.083000       0.038826
    15952.479000       0.050956
    15954.875000       0.065979
    15957.272000       0.084290
    15959.669000       0.106253
    15962.068000       0.132170
    15964.467000       0.162255
    15966.866000       0.196602
    15969.267000       0.235160
    15971.667000       0.277713
    15974.070000       0.323871
    15976.472000       0.373068
    15978.876000       0.424583
    15981.280000       0.477561
    15983.685000       0.531058
    15986.090000       0.584093
    15988.496000       0.635694
    15990.904000       0.684966
    15993.311000       0.731134
    15995.720000       0.773583
    15998.128000       0.811892
    16000.539000       0.845834
    16002.949000       0.875378
    16005.361000       0.900659
    16007.773000       0.921950
    16010.185000       0.939618
    16012.599000       0.954080
    16015.013000       0.965767
    16017.428000       0.975091
    16019.843000       0.982424
    16022.261000       0.988089
    16024.677000       0.992359
    16027.094000       0.995465
    16029.514000       0.997607
    16031.932000       0.998966
    16034.353000       0.999711
    16036.773000       1.000000
    16039.196000       0.999984
    16041.617000       0.999796
    16044.041000       0.999546
    16046.464000       0.999312
    16048.888000       0.999134
    16051.314000       0.999018
    16053.739000       0.998937
    16056.167000       0.998847
    16058.593000       0.998695
    16061.022000       0.998436
    16063.451000       0.998043
    16065.881000       0.997514
    16068.311000       0.996872
    16070.741000       0.996161
    16073.174000       0.995434
    16075.606000       0.994742
    16078.040000       0.994125
    16080.473000       0.993596
    16082.909000       0.993146
    16085.343000       0.992741
    16087.781000       0.992332
    16090.217000       0.991871
    16092.654000       0.991316
    16095.093000       0.990637
    16097.532000       0.989836
    16099.972000       0.988942
    16102.412000       0.988009
    16104.855000       0.987099
    16107.296000       0.986275
    16109.740000       0.985586
    16112.183000       0.985058
    16114.626000       0.984685
    16117.072000       0.984509
    16119.517000       0.984419
    16121.965000       0.984334
    16124.411000       0.984194
    16126.860000       0.983955
    16129.309000       0.983600
    16131.757000       0.983138
    16134.209000       0.982607
    16136.659000       0.982060
    16139.112000       0.981555
    16141.563000       0.981137
    16144.018000       0.980814
    16146.471000       0.980620
    16148.927000       0.980531
    16151.381000       0.980502
    16153.837000       0.980472
    16156.295000       0.980384
    16158.752000       0.980191
    16161.211000       0.979867
    16163.670000       0.979418
    16166.131000       0.978871
    16168.591000       0.978273
    16171.053000       0.977679
    16173.515000       0.977135
    16175.977000       0.976664
    16178.442000       0.976259
    16180.905000       0.975877
    16183.372000       0.975439
    16185.837000       0.974833
    16188.304000       0.973927
    16190.771000       0.972573
    16193.240000       0.970618
    16195.709000       0.967901
    16198.178000       0.964253
    16200.649000       0.959486
    16203.120000       0.953383
    16205.593000       0.945689
    16208.065000       0.936096
    16210.539000       0.924252
    16213.013000       0.909761
    16215.489000       0.892211
    16217.964000       0.871200
    16220.440000       0.846376
    16222.918000       0.817476
    16225.395000       0.784369
    16227.875000       0.747088
    16230.354000       0.705851
    16232.835000       0.661068
    16235.315000       0.613329
    16237.797000       0.563383
    16240.280000       0.512094
    16242.763000       0.460393
    16245.248000       0.409228
    16247.732000       0.359502
    16250.218000       0.312036
    16252.704000       0.267522
    16255.192000       0.226500
    16257.679000       0.189341
    16260.167000       0.156249
    16262.658000       0.127270
    16265.147000       0.102310
    16267.639000       0.081162
    16270.130000       0.063533
    16272.624000       0.049070
    16275.116000       0.037392
    16277.611000       0.028111
    16280.105000       0.020849
    16282.600000       0.015254
    16285.097000       0.011010
    16287.594000       0.007838
    16290.093000       0.005505
    16292.590000       0.003814
    16295.091000       0.002606
    16297.590000       0.001756
    16300.092000       0.001168
    16302.593000       0.000766
    16305.095000       0.000495
    16307.599000       0.000316
    16310.102000       0.000199
    16312.608000       0.000123
    16315.113000       0.000076
    16317.620000       0.000046
    16320.126000       0.000027
    16322.635000       0.000016
    16325.143000       0.000009
    16327.652000       0.000005
    16330.163000       0.000003
    16332.673000       0.000002
    16335.186000       0.000001
    16337.697000       0.000000
    16340.212000       0.000000
    16342.725000       0.000000
    16345.239000       0.000000
    16347.755000       0.000000
    16350.271000       0.000000
    16352.789000       0.000000
    16355.306000       0.000000
    16357.826000       0.000000
