236, band 16 module 4 CCD column 374 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    12637.617000       0.000000
    12639.524000       0.000000
    12641.433000       0.000000
    12643.343000       0.000000
    12645.253000       0.000000
    12647.163000       0.000000
    12649.074000       0.000000
    12650.986000       0.000001
    12652.898000       0.000001
    12654.811000       0.000003
    12656.725000       0.000007
    12658.639000       0.000013
    12660.553000       0.000027
    12662.468000       0.000052
    12664.384000       0.000098
    12666.300000       0.000181
    12668.217000       0.000329
    12670.134000       0.000583
    12672.053000       0.001011
    12673.971000       0.001713
    12675.890000       0.002839
    12677.810000       0.004601
    12679.731000       0.007290
    12681.651000       0.011293
    12683.573000       0.017109
    12685.495000       0.025346
    12687.418000       0.036722
    12689.341000       0.052036
    12691.265000       0.072125
    12693.190000       0.097796
    12695.115000       0.129744
    12697.040000       0.168448
    12698.966000       0.214074
    12700.893000       0.266387
    12702.820000       0.324698
    12704.748000       0.387853
    12706.676000       0.454282
    12708.606000       0.522101
    12710.536000       0.589273
    12712.466000       0.653789
    12714.396000       0.713861
    12716.329000       0.768086
    12718.260000       0.815554
    12720.193000       0.855892
    12722.126000       0.889225
    12724.060000       0.916080
    12725.994000       0.937246
    12727.929000       0.953624
    12729.865000       0.966097
    12731.801000       0.975443
    12733.738000       0.982294
    12735.675000       0.987150
    12737.614000       0.990409
    12739.552000       0.992421
    12741.491000       0.993513
    12743.430000       0.994009
    12745.371000       0.994208
    12747.312000       0.994354
    12749.253000       0.994603
    12751.195000       0.995009
    12753.138000       0.995526
    12755.081000       0.996043
    12757.025000       0.996430
    12758.969000       0.996597
    12760.915000       0.996523
    12762.860000       0.996269
    12764.806000       0.995955
    12766.753000       0.995725
    12768.701000       0.995690
    12770.648000       0.995894
    12772.597000       0.996298
    12774.547000       0.996790
    12776.496000       0.997230
    12778.446000       0.997495
    12780.397000       0.997522
    12782.349000       0.997330
    12784.301000       0.997019
    12786.254000       0.996727
    12788.207000       0.996586
    12790.162000       0.996674
    12792.116000       0.996989
    12794.071000       0.997449
    12796.026000       0.997920
    12797.983000       0.998261
    12799.940000       0.998375
    12801.897000       0.998244
    12803.855000       0.997928
    12805.815000       0.997549
    12807.774000       0.997246
    12809.733000       0.997124
    12811.695000       0.997221
    12813.656000       0.997488
    12815.617000       0.997811
    12817.579000       0.998053
    12819.543000       0.998099
    12821.506000       0.997900
    12823.470000       0.997490
    12825.434000       0.996981
    12827.401000       0.996522
    12829.366000       0.996259
    12831.333000       0.996337
    12833.299000       0.996673
    12835.268000       0.997175
    12837.236000       0.997702
    12839.205000       0.998108
    12841.174000       0.998296
    12843.145000       0.998246
    12845.115000       0.998027
    12847.087000       0.997679
    12849.059000       0.997406
    12851.032000       0.997348
    12853.005000       0.997540
    12854.978000       0.997933
    12856.953000       0.998408
    12858.928000       0.998815
    12860.903000       0.999031
    12862.879000       0.998997
    12864.857000       0.998742
    12866.834000       0.998372
    12868.812000       0.998033
    12870.790000       0.997860
    12872.770000       0.997929
    12874.750000       0.998234
    12876.730000       0.998685
    12878.711000       0.999143
    12880.694000       0.999461
    12882.676000       0.999548
    12884.658000       0.999389
    12886.642000       0.999055
    12888.626000       0.998679
    12890.611000       0.998407
    12892.596000       0.998349
    12894.583000       0.998542
    12896.569000       0.998933
    12898.556000       0.999401
    12900.544000       0.999798
    12902.533000       1.000000
    12904.522000       0.999948
    12906.511000       0.999669
    12908.501000       0.999263
    12910.493000       0.998867
    12912.484000       0.998596
    12914.476000       0.998496
    12916.468000       0.998514
    12918.462000       0.998484
    12920.456000       0.998156
    12922.450000       0.997224
    12924.445000       0.995366
    12926.442000       0.992255
    12928.438000       0.987550
    12930.435000       0.980856
    12932.433000       0.971681
    12934.431000       0.959390
    12936.430000       0.943196
    12938.429000       0.922198
    12940.430000       0.895473
    12942.430000       0.862206
    12944.432000       0.821846
    12946.433000       0.774247
    12948.437000       0.719777
    12950.440000       0.659346
    12952.443000       0.594371
    12954.447000       0.526663
    12956.453000       0.458258
    12958.459000       0.391226
    12960.465000       0.327479
    12962.471000       0.268615
    12964.480000       0.215806
    12966.488000       0.169754
    12968.496000       0.130698
    12970.506000       0.098469
    12972.516000       0.072582
    12974.527000       0.052335
    12976.538000       0.036909
    12978.550000       0.025457
    12980.563000       0.017170
    12982.576000       0.011324
    12984.589000       0.007303
    12986.604000       0.004605
    12988.619000       0.002839
    12990.635000       0.001711
    12992.651000       0.001009
    12994.668000       0.000581
    12996.686000       0.000327
    12998.703000       0.000180
    13000.722000       0.000097
    13002.742000       0.000051
    13004.762000       0.000026
    13006.782000       0.000013
    13008.803000       0.000007
    13010.826000       0.000003
    13012.849000       0.000001
    13014.871000       0.000001
    13016.896000       0.000000
    13018.920000       0.000000
    13020.945000       0.000000
    13022.971000       0.000000
    13024.998000       0.000000
    13027.024000       0.000000
    13029.052000       0.000000
