204, band 14 module 3 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    12968.803000       0.000000
    12969.860000       0.000000
    12970.917000       0.000000
    12971.975000       0.000000
    12973.032000       0.000000
    12974.090000       0.000000
    12975.147000       0.000000
    12976.206000       0.000000
    12977.263000       0.000000
    12978.322000       0.000000
    12979.380000       0.000000
    12980.439000       0.000000
    12981.498000       0.000000
    12982.557000       0.000000
    12983.616000       0.000000
    12984.676000       0.000000
    12985.735000       0.000000
    12986.795000       0.000000
    12987.854000       0.000000
    12988.915000       0.000000
    12989.975000       0.000000
    12991.035000       0.000001
    12992.096000       0.000001
    12993.156000       0.000001
    12994.218000       0.000002
    12995.278000       0.000003
    12996.340000       0.000005
    12997.401000       0.000008
    12998.463000       0.000012
    12999.524000       0.000019
    13000.587000       0.000029
    13001.648000       0.000043
    13002.711000       0.000064
    13003.773000       0.000094
    13004.836000       0.000138
    13005.899000       0.000200
    13006.962000       0.000287
    13008.026000       0.000410
    13009.089000       0.000579
    13010.153000       0.000813
    13011.216000       0.001132
    13012.280000       0.001562
    13013.344000       0.002138
    13014.408000       0.002904
    13015.472000       0.003910
    13016.537000       0.005223
    13017.601000       0.006919
    13018.667000       0.009091
    13019.731000       0.011846
    13020.797000       0.015310
    13021.862000       0.019626
    13022.928000       0.024952
    13023.993000       0.031464
    13025.060000       0.039352
    13026.125000       0.048817
    13027.192000       0.060065
    13028.259000       0.073304
    13029.325000       0.088737
    13030.393000       0.106544
    13031.459000       0.126889
    13032.527000       0.149905
    13033.594000       0.175677
    13034.662000       0.204238
    13035.729000       0.235560
    13036.797000       0.269543
    13037.865000       0.306017
    13038.933000       0.344731
    13040.001000       0.385363
    13041.070000       0.427517
    13042.139000       0.470736
    13043.208000       0.514513
    13044.276000       0.558307
    13045.346000       0.601560
    13046.416000       0.643721
    13047.485000       0.684262
    13048.556000       0.722704
    13049.625000       0.758633
    13050.696000       0.791718
    13051.765000       0.821724
    13052.837000       0.848517
    13053.907000       0.872070
    13054.978000       0.892455
    13056.048000       0.909838
    13057.120000       0.924460
    13058.191000       0.936626
    13059.263000       0.946674
    13060.334000       0.954961
    13061.407000       0.961838
    13062.478000       0.967628
    13063.551000       0.972613
    13064.624000       0.977018
    13065.696000       0.981007
    13066.769000       0.984679
    13067.842000       0.988074
    13068.915000       0.991178
    13069.988000       0.993941
    13071.062000       0.996285
    13072.135000       0.998127
    13073.210000       0.999385
    13074.283000       1.000000
    13075.358000       0.999938
    13076.432000       0.999199
    13077.507000       0.997815
    13078.581000       0.995847
    13079.656000       0.993371
    13080.731000       0.990475
    13081.807000       0.987291
    13082.882000       0.983815
    13083.958000       0.980058
    13085.034000       0.975980
    13086.109000       0.971483
    13087.186000       0.966406
    13088.262000       0.960524
    13089.339000       0.953558
    13090.415000       0.945185
    13091.492000       0.935058
    13092.569000       0.922823
    13093.647000       0.908141
    13094.723000       0.890713
    13095.801000       0.870296
    13096.879000       0.846728
    13097.957000       0.819935
    13099.035000       0.789951
    13100.113000       0.756904
    13101.191000       0.721028
    13102.270000       0.682654
    13103.350000       0.642193
    13104.428000       0.600124
    13105.508000       0.556970
    13106.587000       0.513282
    13107.667000       0.469615
    13108.746000       0.426507
    13109.826000       0.384463
    13110.906000       0.343938
    13111.986000       0.305325
    13113.066000       0.268947
    13114.147000       0.235053
    13115.228000       0.203815
    13116.309000       0.175343
    13117.390000       0.149647
    13118.471000       0.126694
    13119.552000       0.106400
    13120.634000       0.088637
    13121.717000       0.073243
    13122.798000       0.060032
    13123.881000       0.048804
    13124.963000       0.039354
    13126.046000       0.031475
    13127.128000       0.024969
    13128.211000       0.019645
    13129.294000       0.015331
    13130.378000       0.011866
    13131.461000       0.009109
    13132.545000       0.006936
    13133.628000       0.005237
    13134.712000       0.003923
    13135.796000       0.002914
    13136.881000       0.002147
    13137.965000       0.001569
    13139.050000       0.001137
    13140.134000       0.000817
    13141.220000       0.000582
    13142.306000       0.000412
    13143.391000       0.000289
    13144.477000       0.000201
    13145.562000       0.000139
    13146.648000       0.000095
    13147.734000       0.000064
    13148.821000       0.000043
    13149.907000       0.000029
    13150.994000       0.000019
    13152.080000       0.000013
    13153.168000       0.000008
    13154.254000       0.000005
    13155.342000       0.000003
    13156.429000       0.000002
    13157.518000       0.000001
    13158.605000       0.000001
    13159.693000       0.000001
    13160.782000       0.000000
    13161.870000       0.000000
    13162.959000       0.000000
    13164.048000       0.000000
    13165.137000       0.000000
    13166.226000       0.000000
    13167.316000       0.000000
    13168.405000       0.000000
    13169.495000       0.000000
    13170.584000       0.000000
    13171.675000       0.000000
    13172.765000       0.000000
    13173.855000       0.000000
    13174.946000       0.000000
    13176.037000       0.000000
    13177.127000       0.000000
    13178.219000       0.000000
    13179.311000       0.000000
    13180.402000       0.000000
    13181.494000       0.000000
    13182.585000       0.000000
