217, band 15 module 3 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    12938.727000       0.000000
    12939.675000       0.000000
    12940.621000       0.000000
    12941.569000       0.000000
    12942.515000       0.000000
    12943.462000       0.000000
    12944.410000       0.000000
    12945.357000       0.000000
    12946.305000       0.000000
    12947.253000       0.000000
    12948.200000       0.000000
    12949.149000       0.000000
    12950.097000       0.000000
    12951.045000       0.000001
    12951.994000       0.000001
    12952.942000       0.000001
    12953.891000       0.000002
    12954.840000       0.000002
    12955.788000       0.000003
    12956.738000       0.000005
    12957.687000       0.000006
    12958.637000       0.000009
    12959.586000       0.000013
    12960.535000       0.000017
    12961.486000       0.000024
    12962.436000       0.000033
    12963.386000       0.000045
    12964.336000       0.000061
    12965.286000       0.000082
    12966.237000       0.000111
    12967.188000       0.000148
    12968.138000       0.000197
    12969.090000       0.000261
    12970.040000       0.000344
    12970.992000       0.000451
    12971.943000       0.000589
    12972.894000       0.000765
    12973.847000       0.000988
    12974.798000       0.001271
    12975.750000       0.001626
    12976.702000       0.002071
    12977.654000       0.002625
    12978.607000       0.003310
    12979.559000       0.004153
    12980.512000       0.005186
    12981.465000       0.006444
    12982.417000       0.007968
    12983.371000       0.009804
    12984.324000       0.012004
    12985.277000       0.014626
    12986.231000       0.017734
    12987.184000       0.021398
    12988.138000       0.025693
    12989.092000       0.030700
    12990.045000       0.036504
    12991.000000       0.043196
    12991.954000       0.050867
    12992.909000       0.059612
    12993.863000       0.069524
    12994.818000       0.080694
    12995.773000       0.093211
    12996.728000       0.107155
    12997.684000       0.122600
    12998.638000       0.139606
    12999.594000       0.158223
    13000.550000       0.178480
    13001.505000       0.200392
    13002.460000       0.223951
    13003.417000       0.249127
    13004.373000       0.275868
    13005.330000       0.304094
    13006.286000       0.333705
    13007.242000       0.364571
    13008.199000       0.396543
    13009.156000       0.429449
    13010.113000       0.463097
    13011.070000       0.497278
    13012.027000       0.531771
    13012.985000       0.566360
    13013.942000       0.600835
    13014.900000       0.634927
    13015.858000       0.668405
    13016.815000       0.701046
    13017.774000       0.732639
    13018.732000       0.762990
    13019.690000       0.791924
    13020.649000       0.819287
    13021.607000       0.844947
    13022.567000       0.868797
    13023.525000       0.890753
    13024.484000       0.910751
    13025.444000       0.928752
    13026.403000       0.944730
    13027.363000       0.958678
    13028.322000       0.970597
    13029.282000       0.980498
    13030.242000       0.988357
    13031.202000       0.994204
    13032.163000       0.998081
    13033.123000       1.000000
    13034.083000       0.999967
    13035.044000       0.997983
    13036.005000       0.994041
    13036.965000       0.988132
    13037.927000       0.980239
    13038.888000       0.970346
    13039.850000       0.958438
    13040.811000       0.944504
    13041.772000       0.928541
    13042.734000       0.910559
    13043.696000       0.890581
    13044.659000       0.868649
    13045.620000       0.844824
    13046.582000       0.819190
    13047.546000       0.791854
    13048.508000       0.762949
    13049.471000       0.732626
    13050.434000       0.701061
    13051.396000       0.668448
    13052.360000       0.634997
    13053.323000       0.600931
    13054.286000       0.566480
    13055.251000       0.531880
    13056.214000       0.497366
    13057.178000       0.463167
    13058.142000       0.429505
    13059.106000       0.396587
    13060.071000       0.364605
    13061.035000       0.333731
    13062.000000       0.304115
    13062.965000       0.275883
    13063.929000       0.249140
    13064.895000       0.223961
    13065.860000       0.200400
    13066.826000       0.178487
    13067.791000       0.158229
    13068.756000       0.139612
    13069.722000       0.122606
    13070.688000       0.107161
    13071.653000       0.093217
    13072.620000       0.080701
    13073.586000       0.069531
    13074.553000       0.059619
    13075.520000       0.050874
    13076.486000       0.043203
    13077.454000       0.036511
    13078.420000       0.030706
    13079.388000       0.025699
    13080.355000       0.021404
    13081.322000       0.017740
    13082.290000       0.014632
    13083.258000       0.012010
    13084.226000       0.009809
    13085.194000       0.007973
    13086.162000       0.006448
    13087.131000       0.005190
    13088.099000       0.004157
    13089.067000       0.003313
    13090.036000       0.002627
    13091.005000       0.002073
    13091.975000       0.001628
    13092.943000       0.001272
    13093.912000       0.000989
    13094.882000       0.000766
    13095.852000       0.000590
    13096.822000       0.000452
    13097.792000       0.000344
    13098.761000       0.000261
    13099.732000       0.000197
    13100.702000       0.000148
    13101.672000       0.000111
    13102.643000       0.000082
    13103.614000       0.000061
    13104.585000       0.000045
    13105.556000       0.000033
    13106.527000       0.000024
    13107.499000       0.000017
    13108.470000       0.000013
    13109.442000       0.000009
    13110.414000       0.000006
    13111.385000       0.000005
    13112.358000       0.000003
    13113.330000       0.000002
    13114.303000       0.000002
    13115.275000       0.000001
    13116.247000       0.000001
    13117.221000       0.000001
    13118.193000       0.000000
    13119.166000       0.000000
    13120.140000       0.000000
    13121.113000       0.000000
    13122.087000       0.000000
    13123.060000       0.000000
    13124.033000       0.000000
    13125.008000       0.000000
    13125.982000       0.000000
    13126.957000       0.000000
    13127.931000       0.000000
    13128.905000       0.000000
    13129.880000       0.000000
