   1 , HJ-1B IRMSS  11.5microns
Number of data points:
354
Wavenumber (cm-1)   Filter response
      960.614800       0.261184
      961.538500       0.250948
      962.463900       0.240970
      963.391100       0.230992
      964.320200       0.221365
      965.251000       0.211738
      966.183600       0.202595
      967.118000       0.193452
      968.054200       0.184981
      968.992200       0.176511
      969.932100       0.169097
      970.873800       0.161683
      971.817300       0.154604
      972.762600       0.147525
      973.709800       0.140997
      974.658900       0.134469
      975.609800       0.128261
      976.562500       0.122052
      977.517100       0.116715
      978.473600       0.111377
      979.431900       0.106313
      980.392200       0.101248
      981.354300       0.096797
      982.318300       0.092345
      983.284200       0.088097
      984.252000       0.083848
      985.221700       0.080244
      986.193300       0.076641
      987.166800       0.073178
      988.142300       0.069716
      989.119700       0.066484
      990.099000       0.063252
      991.080300       0.060199
      992.063500       0.057145
      993.048700       0.054430
      994.035800       0.051716
      995.024900       0.049221
      996.015900       0.046726
      997.009000       0.044621
      998.004000       0.042516
      999.001000       0.040572
     1000.000000       0.038628
     1001.001000       0.036684
     1002.004000       0.034740
     1003.009000       0.032796
     1004.016100       0.030853
     1005.025100       0.028909
     1006.036200       0.026965
     1007.049300       0.025021
     1008.064500       0.023077
     1009.081700       0.021133
     1010.101000       0.019189
     1011.122300       0.017245
     1012.145700       0.015301
     1013.171200       0.013357
     1014.198800       0.011413
     1015.228400       0.009469
     1016.260200       0.007525
     1017.294000       0.005581
     1018.329900       0.003638
     1019.368000       0.001694
     1020.408200       0.000000
