298, band 20 module 5 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    10490.329000       0.000000
    10491.920000       0.000000
    10493.511000       0.000000
    10495.104000       0.000000
    10496.696000       0.000000
    10498.289000       0.000000
    10499.883000       0.000000
    10501.477000       0.000000
    10503.071000       0.000000
    10504.666000       0.000000
    10506.261000       0.000001
    10507.858000       0.000002
    10509.455000       0.000006
    10511.051000       0.000017
    10512.649000       0.000044
    10514.246000       0.000108
    10515.845000       0.000254
    10517.444000       0.000570
    10519.043000       0.001223
    10520.643000       0.002508
    10522.243000       0.004919
    10523.845000       0.009232
    10525.445000       0.016572
    10527.048000       0.028458
    10528.650000       0.046756
    10530.253000       0.073506
    10531.855000       0.110603
    10533.460000       0.159331
    10535.063000       0.219854
    10536.668000       0.290777
    10538.274000       0.368980
    10539.879000       0.449851
    10541.486000       0.527967
    10543.092000       0.598112
    10544.700000       0.656373
    10546.307000       0.700954
    10547.915000       0.732430
    10549.524000       0.753326
    10551.133000       0.767137
    10552.742000       0.777162
    10554.353000       0.785577
    10555.964000       0.793080
    10557.574000       0.799205
    10559.186000       0.803086
    10560.798000       0.804300
    10562.411000       0.803355
    10564.024000       0.801619
    10565.638000       0.800739
    10567.251000       0.801875
    10568.866000       0.805148
    10570.481000       0.809585
    10572.097000       0.813620
    10573.713000       0.815878
    10575.329000       0.815874
    10576.946000       0.814258
    10578.564000       0.812500
    10580.182000       0.812142
    10581.800000       0.814033
    10583.419000       0.817889
    10585.039000       0.822437
    10586.659000       0.826050
    10588.280000       0.827563
    10589.900000       0.826868
    10591.522000       0.824966
    10593.144000       0.823471
    10594.766000       0.823801
    10596.389000       0.826459
    10598.013000       0.830780
    10599.637000       0.835255
    10601.261000       0.838296
    10602.886000       0.839026
    10604.512000       0.837730
    10606.138000       0.835716
    10607.764000       0.834660
    10609.391000       0.835762
    10611.018000       0.839141
    10612.646000       0.843772
    10614.275000       0.847992
    10615.904000       0.850341
    10617.534000       0.850300
    10619.163000       0.848557
    10620.794000       0.846666
    10622.425000       0.846279
    10624.056000       0.848354
    10625.688000       0.852562
    10627.321000       0.857568
    10628.953000       0.861645
    10630.587000       0.863547
    10632.221000       0.863123
    10633.855000       0.861454
    10635.491000       0.860507
    10637.126000       0.861402
    10638.762000       0.864669
    10640.398000       0.869621
    10642.035000       0.874699
    10643.673000       0.878259
    10645.311000       0.879447
    10646.950000       0.878678
    10648.588000       0.877193
    10650.228000       0.876736
    10651.868000       0.878541
    10653.509000       0.882701
    10655.149000       0.888114
    10656.791000       0.893044
    10658.433000       0.895988
    10660.076000       0.896435
    10661.719000       0.895145
    10663.362000       0.893760
    10665.007000       0.893981
    10666.651000       0.896704
    10668.296000       0.901566
    10669.941000       0.907120
    10671.588000       0.911553
    10673.234000       0.913616
    10674.881000       0.913256
    10676.529000       0.911645
    10678.177000       0.910597
    10679.826000       0.911656
    10681.475000       0.915302
    10683.125000       0.920709
    10684.774000       0.926154
    10686.425000       0.929889
    10688.076000       0.931021
    10689.728000       0.929971
    10691.380000       0.928274
    10693.033000       0.927797
    10694.687000       0.929799
    10696.340000       0.934293
    10697.995000       0.940031
    10699.649000       0.945126
    10701.304000       0.948008
    10702.960000       0.948225
    10704.616000       0.946667
    10706.273000       0.945130
    10707.931000       0.945411
    10709.589000       0.948399
    10711.247000       0.953612
    10712.906000       0.959442
    10714.565000       0.963965
    10716.225000       0.965900
    10717.885000       0.965274
    10719.546000       0.963416
    10721.207000       0.962284
    10722.870000       0.963480
    10724.532000       0.967436
    10726.195000       0.973195
    10727.859000       0.978870
    10729.522000       0.982614
    10731.187000       0.983549
    10732.852000       0.982214
    10734.518000       0.980302
    10736.183000       0.979803
    10737.850000       0.982005
    10739.518000       0.986806
    10741.185000       0.992758
    10742.854000       0.997751
    10744.522000       1.000000
    10746.191000       0.998823
    10747.861000       0.994769
    10749.531000       0.989007
    10751.201000       0.982197
    10752.873000       0.973473
    10754.544000       0.959981
    10756.217000       0.937298
    10757.890000       0.900656
    10759.563000       0.846506
    10761.237000       0.773871
    10762.911000       0.684940
    10764.587000       0.584798
    10766.262000       0.480343
    10767.938000       0.378823
    10769.614000       0.286453
    10771.291000       0.207483
    10772.969000       0.143857
    10774.647000       0.095433
    10776.326000       0.060554
    10778.004000       0.036743
    10779.684000       0.021317
    10781.364000       0.011824
    10783.045000       0.006269
    10784.726000       0.003178
    10786.408000       0.001540
    10788.090000       0.000713
    10789.773000       0.000316
    10791.456000       0.000134
    10793.140000       0.000054
    10794.824000       0.000021
    10796.509000       0.000008
    10798.194000       0.000003
    10799.880000       0.000001
    10801.567000       0.000000
    10803.254000       0.000000
    10804.941000       0.000000
    10806.629000       0.000000
    10808.318000       0.000000
    10810.007000       0.000000
    10811.696000       0.000000
    10813.387000       0.000000
    10815.077000       0.000000
    10816.768000       0.000000
