1, GCOM-C SGLI  IR channel 1 from file JAXA_GCOMC_SGLI_TIR_RSR_V5.csv
Number of data points:
661
Wavenumber (cm-1)   Filter response
      863.185200       0.011572
      863.557900       0.011842
      863.930900       0.012113
      864.304200       0.012384
      864.677900       0.012655
      865.051900       0.012927
      865.426200       0.013315
      865.800900       0.013719
      866.175800       0.014124
      866.551100       0.014531
      866.926700       0.014938
      867.302700       0.015347
      867.679000       0.015757
      868.055600       0.016168
      868.432500       0.016582
      868.809700       0.016998
      869.187300       0.017582
      869.565200       0.018285
      869.943500       0.018988
      870.322000       0.019695
      870.700900       0.020405
      871.080100       0.021118
      871.459700       0.021833
      871.839600       0.022551
      872.219800       0.023271
      872.600300       0.023994
      872.981200       0.024904
      873.362400       0.026101
      873.744000       0.027302
      874.125900       0.028509
      874.508100       0.029721
      874.890600       0.030938
      875.273500       0.032160
      875.656700       0.033388
      876.040300       0.034619
      876.424200       0.035855
      876.808400       0.037362
      877.193000       0.039534
      877.577900       0.041693
      877.963100       0.043856
      878.348700       0.046023
      878.734600       0.048193
      879.120900       0.050368
      879.507500       0.052549
      879.894400       0.054736
      880.281700       0.056931
      880.669300       0.059635
      881.057300       0.063706
      881.445600       0.067791
      881.834200       0.071888
      882.223200       0.075997
      882.612500       0.080117
      883.002200       0.084248
      883.392200       0.088390
      883.782600       0.092542
      884.173300       0.096707
      884.564400       0.102060
      884.955800       0.109732
      885.347500       0.117352
      885.739600       0.124985
      886.132000       0.132631
      886.524800       0.140291
      886.918000       0.147965
      887.311400       0.155653
      887.705300       0.163355
      888.099500       0.171075
      888.494000       0.181794
      888.888900       0.195602
      889.284100       0.209442
      889.679700       0.223316
      890.075700       0.237220
      890.472000       0.251155
      890.868600       0.265115
      891.265600       0.279087
      891.663000       0.293073
      892.060700       0.307060
      892.458700       0.326051
      892.857100       0.346864
      893.255900       0.367607
      893.655000       0.388340
      894.054500       0.409089
      894.454400       0.429854
      894.854600       0.450647
      895.255100       0.471491
      895.656100       0.492387
      896.057300       0.513465
      896.459000       0.536744
      896.861000       0.560072
      897.263300       0.583425
      897.666100       0.606813
      898.069200       0.630192
      898.472600       0.653552
      898.876400       0.676888
      899.280600       0.700175
      899.685100       0.723413
      900.090000       0.744155
      900.495300       0.762028
      900.900900       0.779864
      901.306900       0.797478
      901.713300       0.815056
      902.120000       0.832623
      902.527100       0.850177
      902.934500       0.867729
      903.342400       0.885292
      903.750600       0.902865
      904.159100       0.911585
      904.568100       0.919917
      904.977400       0.928286
      905.387100       0.936703
      905.797100       0.945165
      906.207500       0.953674
      906.618300       0.962232
      907.029500       0.970833
      907.441000       0.979480
      907.852900       0.984500
      908.265200       0.986233
      908.677900       0.987991
      909.090900       0.989756
      909.504300       0.991576
      909.918100       0.993389
      910.332300       0.995182
      910.746800       0.996957
      911.161700       0.998686
      911.577000       1.000000
      911.992700       0.999520
      912.408800       0.998981
      912.825200       0.998400
      913.242000       0.997802
      913.659200       0.997179
      914.076800       0.996585
      914.494700       0.996026
      914.913100       0.995514
      915.331800       0.995082
      915.750900       0.995016
      916.170400       0.995019
      916.590300       0.995076
      917.010500       0.995110
      917.431200       0.995103
      917.852200       0.995172
      918.273600       0.995112
      918.695500       0.994940
      919.117600       0.994645
