16, channel 16 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
142
Wavenumber (cm-1)   Filter response
     2270.770000       0.000000
     2281.440000       0.000000
     2300.500000       0.000865
     2318.780000       0.001374
     2334.810000       0.003467
     2347.760000       0.004054
     2367.550000       0.003766
     2383.540000       0.004309
     2401.820000       0.004818
     2423.200000       0.007609
     2443.760000       0.008085
     2461.330000       0.010930
     2475.140000       0.015381
     2481.400000       0.023042
     2489.220000       0.032230
     2497.120000       0.044519
     2503.590000       0.061479
     2508.490000       0.076136
     2513.480000       0.094668
     2516.240000       0.115558
     2519.800000       0.137987
     2521.770000       0.157339
     2525.290000       0.178218
     2527.320000       0.200669
     2530.100000       0.222334
     2532.120000       0.244010
     2533.410000       0.267247
     2533.940000       0.290495
     2535.160000       0.310632
     2537.180000       0.332308
     2538.440000       0.353996
     2540.490000       0.377222
     2542.520000       0.399673
     2543.850000       0.424460
     2545.580000       0.467070
     2547.440000       0.481772
     2547.850000       0.499595
     2549.040000       0.518183
     2551.120000       0.542958
     2553.230000       0.568509
     2554.570000       0.594071
     2556.770000       0.623497
     2557.420000       0.652169
     2560.250000       0.676159
     2562.450000       0.705585
     2564.520000       0.729585
     2566.680000       0.757461
     2570.150000       0.776015
     2571.370000       0.796153
     2573.330000       0.815504
     2574.570000       0.836416
     2578.730000       0.851860
     2582.830000       0.864978
     2586.210000       0.879658
     2591.010000       0.889666
     2595.610000       0.891149
     2600.900000       0.889522
     2606.140000       0.885570
     2609.840000       0.880865
     2612.000000       0.875407
     2615.750000       0.873027
     2619.550000       0.872972
     2621.040000       0.871400
     2623.980000       0.866706
     2626.880000       0.860462
     2633.620000       0.855713
     2641.340000       0.860252
     2647.430000       0.860163
     2655.810000       0.860817
     2664.240000       0.863020
     2671.170000       0.866795
     2679.600000       0.868998
     2685.650000       0.867360
     2695.450000       0.863341
     2701.560000       0.864028
     2708.440000       0.865478
     2714.600000       0.868489
     2721.540000       0.872264
     2728.490000       0.876815
     2733.940000       0.882162
     2740.190000       0.889048
     2745.510000       0.888970
     2750.750000       0.885018
     2755.920000       0.877966
     2759.530000       0.869387
     2763.920000       0.861571
     2766.750000       0.852227
     2771.030000       0.839762
     2773.810000       0.828094
     2778.070000       0.814854
     2780.840000       0.802410
     2784.390000       0.791506
     2788.710000       0.780590
     2792.280000       0.770461
     2795.910000       0.762656
     2801.110000       0.757154
     2802.670000       0.758682
     2806.550000       0.761727
     2807.380000       0.764815
     2808.320000       0.772554
     2811.500000       0.778709
     2814.560000       0.779439
     2816.230000       0.785617
     2819.390000       0.790997
     2824.560000       0.783945
     2828.080000       0.771491
     2829.960000       0.753634
     2831.800000       0.734228
     2834.170000       0.704736
     2835.060000       0.676816
     2836.810000       0.653535
     2837.600000       0.621740
     2838.380000       0.589171
     2840.030000       0.561240
     2841.740000       0.536409
     2843.480000       0.479019
     2845.830000       0.448752
     2846.890000       0.428582
     2848.650000       0.371967
     2849.600000       0.347147
     2850.650000       0.326202
     2851.650000       0.303707
     2852.680000       0.281986
     2854.430000       0.258705
     2854.720000       0.237771
     2857.300000       0.217578
     2858.180000       0.189658
     2860.820000       0.171790
     2861.940000       0.153945
     2865.210000       0.130641
     2867.600000       0.101924
     2872.520000       0.084024
     2877.350000       0.062248
     2884.460000       0.040439
     2892.430000       0.022494
     2902.920000       0.015364
     2914.260000       0.012099
     2927.920000       0.010350
     2945.390000       0.008546
     2962.840000       0.005966
     2984.110000       0.004107
     2999.240000       0.000000
