244, band 17 module 2 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    11372.505000       0.000000
    11374.373000       0.000000
    11376.243000       0.000000
    11378.112000       0.000000
    11379.983000       0.000000
    11381.853000       0.000000
    11383.725000       0.000000
    11385.597000       0.000000
    11387.470000       0.000000
    11389.343000       0.000001
    11391.217000       0.000003
    11393.091000       0.000007
    11394.967000       0.000018
    11396.842000       0.000044
    11398.719000       0.000104
    11400.596000       0.000237
    11402.474000       0.000521
    11404.352000       0.001097
    11406.231000       0.002218
    11408.110000       0.004303
    11409.990000       0.008015
    11411.871000       0.014329
    11413.752000       0.024592
    11415.634000       0.040520
    11417.517000       0.064108
    11419.400000       0.097406
    11421.284000       0.142172
    11423.168000       0.199414
    11425.054000       0.268929
    11426.939000       0.348963
    11428.826000       0.436135
    11430.712000       0.525738
    11432.599000       0.612412
    11434.488000       0.691074
    11436.377000       0.757870
    11438.266000       0.810871
    11440.156000       0.850282
    11442.047000       0.878086
    11443.938000       0.897247
    11445.830000       0.910759
    11447.723000       0.920861
    11449.616000       0.928696
    11451.510000       0.934475
    11453.404000       0.937996
    11455.299000       0.939236
    11457.195000       0.938720
    11459.091000       0.937501
    11460.989000       0.936783
    11462.886000       0.937407
    11464.784000       0.939479
    11466.683000       0.942349
    11468.583000       0.944945
    11470.482000       0.946329
    11472.384000       0.946169
    11474.284000       0.944913
    11476.187000       0.943560
    11478.089000       0.943161
    11479.993000       0.944287
    11481.896000       0.946739
    11483.801000       0.949647
    11485.706000       0.951909
    11487.612000       0.952750
    11489.518000       0.952107
    11491.426000       0.950671
    11493.333000       0.949531
    11495.242000       0.949631
    11497.150000       0.951286
    11499.060000       0.954030
    11500.970000       0.956843
    11502.881000       0.958670
    11504.792000       0.958951
    11506.705000       0.957909
    11508.617000       0.956432
    11510.531000       0.955630
    11512.445000       0.956274
    11514.360000       0.958405
    11516.275000       0.961313
    11518.191000       0.963894
    11520.107000       0.965209
    11522.025000       0.964955
    11523.942000       0.963622
    11525.861000       0.962245
    11527.780000       0.961883
    11529.700000       0.963082
    11531.620000       0.965603
    11533.541000       0.968537
    11535.463000       0.970765
    11537.385000       0.971522
    11539.308000       0.970787
    11541.232000       0.969289
    11543.156000       0.968147
    11545.081000       0.968298
    11547.006000       0.970030
    11548.933000       0.972830
    11550.859000       0.975647
    11552.787000       0.977421
    11554.715000       0.977616
    11556.644000       0.976316
    11558.573000       0.974623
    11560.504000       0.973669
    11562.434000       0.974208
    11564.366000       0.976243
    11566.297000       0.979018
    11568.230000       0.981397
    11570.163000       0.982301
    11572.097000       0.981614
    11574.032000       0.979871
    11575.967000       0.978143
    11577.903000       0.977490
    11579.840000       0.978435
    11581.776000       0.980692
    11583.715000       0.983310
    11585.653000       0.985158
    11587.592000       0.985493
    11589.531000       0.984331
    11591.472000       0.982449
    11593.413000       0.980983
    11595.355000       0.980865
    11597.297000       0.982342
    11599.240000       0.984861
    11601.184000       0.987338
    11603.128000       0.988711
    11605.073000       0.988474
    11607.019000       0.986934
    11608.965000       0.985054
    11610.912000       0.983972
    11612.859000       0.984422
    11614.808000       0.986368
    11616.756000       0.989014
    11618.706000       0.991213
    11620.656000       0.992043
    11622.607000       0.991269
    11624.558000       0.989467
    11626.511000       0.987735
    11628.463000       0.987134
    11630.417000       0.988154
    11632.371000       0.990470
    11634.326000       0.993100
    11636.281000       0.994902
    11638.237000       0.995151
    11640.194000       0.993908
    11642.152000       0.991985
    11644.109000       0.990537
    11646.068000       0.990483
    11648.027000       0.992037
    11649.988000       0.994601
    11651.948000       0.997067
    11653.910000       0.998375
    11655.871000       0.998048
    11657.835000       0.996434
    11659.798000       0.994526
    11661.762000       0.993463
    11663.726000       0.993940
    11665.692000       0.995850
    11667.657000       0.998298
    11669.625000       1.000000
    11671.591000       0.999828
    11673.560000       0.997216
    11675.528000       0.992185
    11677.498000       0.984948
    11679.467000       0.975279
    11681.438000       0.961942
    11683.409000       0.942517
    11685.382000       0.913760
    11687.354000       0.872437
    11689.328000       0.816362
    11691.301000       0.745260
    11693.276000       0.661165
    11695.251000       0.568204
    11697.227000       0.471855
    11699.204000       0.377924
    11701.181000       0.291532
    11703.159000       0.216378
    11705.138000       0.154406
    11707.117000       0.105880
    11709.097000       0.069743
    11711.077000       0.044118
    11713.059000       0.026796
    11715.041000       0.015625
    11717.024000       0.008746
    11719.007000       0.004699
    11720.991000       0.002423
    11722.975000       0.001199
    11724.961000       0.000570
    11726.947000       0.000260
    11728.934000       0.000114
    11730.921000       0.000048
    11732.909000       0.000019
    11734.898000       0.000007
    11736.887000       0.000003
    11738.877000       0.000001
    11740.868000       0.000000
    11742.859000       0.000000
    11744.852000       0.000000
    11746.844000       0.000000
    11748.837000       0.000000
    11750.832000       0.000000
    11752.826000       0.000000
    11754.822000       0.000000
    11756.818000       0.000000
