14, channel 14 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
74
Wavenumber (cm-1)   Filter response
     2209.270000       0.000000
     2214.010000       0.001276
     2217.610000       0.004299
     2222.160000       0.005757
     2226.510000       0.006446
     2230.680000       0.007912
     2234.280000       0.010162
     2237.520000       0.016285
     2240.380000       0.024735
     2242.700000       0.038608
     2245.010000       0.054027
     2246.390000       0.070237
     2247.970000       0.090310
     2249.560000       0.115021
     2250.770000       0.140513
     2251.620000       0.169105
     2253.050000       0.202325
     2253.680000       0.223189
     2254.310000       0.241734
     2255.130000       0.261821
     2255.750000       0.279592
     2256.390000       0.300456
     2257.010000       0.317455
     2257.830000       0.339088
     2258.460000       0.359179
     2259.470000       0.379263
     2260.280000       0.396257
     2261.280000       0.413248
     2262.280000       0.429466
     2263.650000       0.443357
     2265.000000       0.452609
     2266.720000       0.457989
     2268.440000       0.463368
     2270.150000       0.463335
     2272.420000       0.465610
     2274.140000       0.469443
     2275.490000       0.477922
     2276.840000       0.486401
     2277.630000       0.495664
     2279.000000       0.509555
     2280.370000       0.525766
     2281.350000       0.535026
     2282.320000       0.543512
     2283.630000       0.539621
     2284.370000       0.532648
     2284.900000       0.523359
     2285.780000       0.501692
     2286.460000       0.476937
     2287.120000       0.445996
     2287.970000       0.414279
     2288.620000       0.381792
     2289.080000       0.346216
     2289.730000       0.314503
     2290.410000       0.288201
     2290.890000       0.261130
     2291.350000       0.227100
     2292.370000       0.191513
     2293.040000       0.162892
     2294.070000       0.129625
     2294.770000       0.112601
     2295.280000       0.094034
     2296.740000       0.076223
     2297.810000       0.055326
     2299.830000       0.036730
     2301.880000       0.026639
     2303.750000       0.019644
     2307.510000       0.012613
     2311.860000       0.009436
     2317.340000       0.008557
     2323.770000       0.006113
     2329.430000       0.003684
     2334.910000       0.001258
     2341.340000       0.000361
     2348.350000       0.000000
