4, INSAT-3DS-Imager-SRF-Ch4.txt  channel 4 SRF
Number of data points:
163
Wavenumber (cm-1)   Filter response
     1371.742100       0.000000
     1372.683600       0.000139
     1373.626400       0.000278
     1374.570400       0.000417
     1375.515800       0.001505
     1376.462500       0.002593
     1377.410500       0.003681
     1378.359800       0.004546
     1379.310300       0.005410
     1380.262200       0.006275
     1381.215500       0.007323
     1382.170000       0.008370
     1383.125900       0.009418
     1384.083000       0.011160
     1385.041600       0.012902
     1386.001400       0.014644
     1386.962600       0.019586
     1387.925100       0.024528
     1388.888900       0.029470
     1389.854100       0.036520
     1390.820600       0.043571
     1391.788400       0.050622
     1392.757700       0.057583
     1393.728200       0.064544
     1394.700100       0.071505
     1395.673400       0.095721
     1396.648000       0.119936
     1397.624000       0.144152
     1398.601400       0.196868
     1399.580100       0.249584
     1400.560200       0.302300
     1401.541700       0.314997
     1402.524500       0.349368
     1403.508800       0.384073
     1404.494400       0.417769
     1405.481400       0.448264
     1406.469800       0.475558
     1407.459500       0.498539
     1408.450700       0.518763
     1409.443300       0.536229
     1410.437200       0.551930
     1411.432600       0.566166
     1412.429400       0.578939
     1413.427600       0.593499
     1414.427200       0.609848
     1415.428200       0.627983
     1416.430600       0.646925
     1417.434400       0.668014
     1418.439700       0.691251
     1419.446400       0.713411
     1420.454500       0.735608
     1421.464100       0.757842
     1422.475100       0.780390
     1423.487500       0.802263
     1424.501400       0.823459
     1425.516700       0.843582
     1426.533500       0.859380
     1427.551700       0.870855
     1428.571400       0.878898
     1429.592600       0.884491
     1430.615200       0.887635
     1431.639200       0.889704
     1432.664800       0.893923
     1433.691800       0.900292
     1434.720200       0.905736
     1435.750200       0.909978
     1436.781600       0.913018
     1437.814500       0.914111
     1438.848900       0.913655
     1439.884800       0.911648
     1440.922200       0.910332
     1441.961100       0.908813
     1443.001400       0.907090
     1444.043300       0.904963
     1445.086700       0.901055
     1446.131600       0.895368
     1447.178000       0.886349
     1448.225900       0.877070
     1449.275400       0.867532
     1450.326300       0.863646
     1451.378800       0.866156
     1452.432800       0.875062
     1453.488400       0.888019
     1454.545500       0.902788
     1455.604100       0.919368
     1456.664200       0.933297
     1457.725900       0.944776
     1458.789200       0.953805
     1459.854000       0.961353
     1460.920400       0.968973
     1461.988300       0.976665
     1463.057800       0.984449
     1464.128800       0.986414
     1465.201500       0.982560
     1466.275700       0.976478
     1467.351400       0.970513
     1468.428800       0.964665
     1469.507700       0.960028
     1470.588200       0.961065
     1471.670300       0.967776
     1472.754100       0.974687
     1473.839400       0.980831
     1474.926300       0.986207
     1476.014800       0.990798
     1477.104900       0.994584
     1478.196600       0.997565
     1479.289900       1.000000
     1480.384900       0.998297
     1481.481500       0.992457
     1482.579700       0.986533
     1483.679500       0.979432
     1484.781000       0.971153
     1485.884100       0.959642
     1486.988800       0.950371
     1488.095200       0.943341
     1489.203300       0.936955
     1490.313000       0.931230
     1491.424300       0.926166
     1492.537300       0.923390
     1493.652000       0.922642
     1494.768300       0.923923
     1495.886300       0.924605
     1497.006000       0.920635
     1498.127300       0.912012
     1499.250400       0.899947
     1500.375100       0.886497
     1501.501500       0.871661
     1502.629600       0.861701
     1503.759400       0.858212
     1504.890900       0.861196
     1506.024100       0.863712
     1507.159000       0.864136
     1508.295600       0.862465
     1509.434000       0.857972
     1510.574000       0.853283
     1511.715800       0.848398
     1512.859300       0.844550
     1514.004500       0.840526
     1515.151500       0.836328
     1516.300200       0.832314
     1517.450700       0.822224
     1518.602900       0.806057
     1519.756800       0.778344
     1520.912500       0.745440
     1522.070000       0.726956
     1523.229200       0.713158
     1524.390200       0.699359
     1525.553000       0.685561
     1526.717600       0.600651
     1527.883900       0.515742
     1529.052000       0.430833
     1530.221900       0.376428
     1531.393600       0.322023
     1532.567000       0.267618
     1533.742300       0.228628
     1534.919400       0.189639
     1536.098300       0.150649
     1537.279000       0.116570
     1538.461500       0.082491
     1539.645900       0.048412
     1540.832000       0.032274
     1542.020000       0.016137
     1543.209900       0.000000
