49, band 4 module 2 CCD column 10 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    20022.016000       0.000000
    20025.794000       0.000000
    20029.572000       0.000000
    20033.351000       0.000000
    20037.133000       0.000000
    20040.916000       0.000000
    20044.701000       0.000000
    20048.486000       0.000000
    20052.274000       0.000000
    20056.061000       0.000000
    20059.851000       0.000000
    20063.643000       0.000000
    20067.436000       0.000001
    20071.231000       0.000001
    20075.026000       0.000002
    20078.823000       0.000004
    20082.621000       0.000007
    20086.422000       0.000013
    20090.223000       0.000024
    20094.026000       0.000042
    20097.831000       0.000074
    20101.636000       0.000127
    20105.443000       0.000216
    20109.252000       0.000360
    20113.062000       0.000591
    20116.874000       0.000953
    20120.687000       0.001511
    20124.502000       0.002356
    20128.317000       0.003614
    20132.134000       0.005452
    20135.953000       0.008087
    20139.774000       0.011799
    20143.596000       0.016931
    20147.419000       0.023893
    20151.243000       0.033162
    20155.069000       0.045271
    20158.896000       0.060789
    20162.726000       0.080290
    20166.556000       0.104321
    20170.388000       0.133347
    20174.221000       0.167702
    20178.056000       0.207534
    20181.892000       0.252754
    20185.730000       0.303001
    20189.569000       0.357623
    20193.410000       0.415681
    20197.251000       0.475984
    20201.095000       0.537152
    20204.940000       0.597703
    20208.787000       0.656158
    20212.635000       0.711152
    20216.484000       0.761539
    20220.336000       0.806475
    20224.187000       0.845477
    20228.041000       0.878433
    20231.896000       0.905583
    20235.753000       0.927448
    20239.612000       0.944747
    20243.471000       0.958292
    20247.332000       0.968883
    20251.194000       0.977221
    20255.059000       0.983856
    20258.924000       0.989162
    20262.792000       0.993347
    20266.660000       0.996499
    20270.529000       0.998639
    20274.401000       0.999784
    20278.274000       1.000000
    20282.149000       0.999428
    20286.025000       0.998291
    20289.903000       0.996869
    20293.780000       0.995461
    20297.661000       0.994328
    20301.543000       0.993652
    20305.427000       0.993498
    20309.312000       0.993810
    20313.198000       0.994420
    20317.086000       0.995094
    20320.974000       0.995579
    20324.865000       0.995664
    20328.758000       0.995225
    20332.652000       0.994252
    20336.547000       0.992853
    20340.444000       0.991230
    20344.341000       0.989640
    20348.241000       0.988327
    20352.143000       0.987469
    20356.046000       0.987151
    20359.950000       0.987339
    20363.856000       0.987885
    20367.762000       0.988567
    20371.671000       0.989128
    20375.582000       0.989343
    20379.493000       0.989059
    20383.407000       0.988237
    20387.322000       0.987220
    20391.237000       0.985949
    20395.155000       0.984641
    20399.074000       0.983546
    20402.995000       0.982869
    20406.918000       0.982723
    20410.842000       0.983104
    20414.767000       0.983893
    20418.693000       0.984877
    20422.621000       0.985805
    20426.551000       0.986399
    20430.483000       0.986435
    20434.416000       0.985924
    20438.350000       0.984914
    20442.285000       0.983564
    20446.223000       0.982107
    20450.162000       0.980800
    20454.103000       0.979868
    20458.045000       0.979452
    20461.988000       0.979581
    20465.932000       0.980163
    20469.879000       0.981006
    20473.827000       0.981860
    20477.777000       0.982474
    20481.728000       0.982647
    20485.681000       0.982277
    20489.634000       0.981381
    20493.590000       0.980090
    20497.547000       0.978623
    20501.506000       0.977237
    20505.467000       0.976168
    20509.428000       0.975580
    20513.392000       0.975526
    20517.356000       0.975933
    20521.322000       0.976614
    20525.290000       0.977300
    20529.260000       0.977694
    20533.231000       0.977518
    20537.204000       0.976556
    20541.177000       0.974681
    20545.153000       0.971844
    20549.130000       0.968045
    20553.109000       0.963280
    20557.089000       0.957480
    20561.071000       0.950450
    20565.053000       0.941825
    20569.038000       0.931065
    20573.025000       0.917472
    20577.013000       0.900250
    20581.003000       0.878595
    20584.994000       0.851791
    20588.985000       0.819322
    20592.980000       0.780959
    20596.975000       0.736818
    20600.973000       0.687388
    20604.972000       0.633510
    20608.972000       0.576325
    20612.974000       0.517185
    20616.977000       0.457547
    20620.982000       0.398865
    20624.989000       0.342485
    20628.997000       0.289559
    20633.007000       0.240989
    20637.018000       0.197389
    20641.030000       0.159087
    20645.044000       0.126146
    20649.060000       0.098398
    20653.078000       0.075498
    20657.097000       0.056974
    20661.118000       0.042286
    20665.139000       0.030865
    20669.163000       0.022155
    20673.188000       0.015638
    20677.215000       0.010855
    20681.244000       0.007409
    20685.274000       0.004973
    20689.305000       0.003282
    20693.338000       0.002130
    20697.373000       0.001359
    20701.409000       0.000853
    20705.447000       0.000526
    20709.487000       0.000319
    20713.528000       0.000190
    20717.570000       0.000112
    20721.614000       0.000064
    20725.660000       0.000036
    20729.707000       0.000020
    20733.757000       0.000011
    20737.807000       0.000006
    20741.858000       0.000003
    20745.912000       0.000002
    20749.967000       0.000001
    20754.024000       0.000000
    20758.083000       0.000000
    20762.143000       0.000000
    20766.204000       0.000000
    20770.267000       0.000000
    20774.332000       0.000000
    20778.399000       0.000000
    20782.467000       0.000000
    20786.536000       0.000000
    20790.606000       0.000000
    20794.679000       0.000000
    20798.754000       0.000000
    20802.830000       0.000000
