72, band 5 module 4 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    19215.926000       0.000000
    19219.402000       0.000000
    19222.881000       0.000000
    19226.362000       0.000000
    19229.844000       0.000000
    19233.325000       0.000000
    19236.809000       0.000000
    19240.295000       0.000000
    19243.780000       0.000000
    19247.268000       0.000000
    19250.757000       0.000000
    19254.248000       0.000001
    19257.738000       0.000002
    19261.231000       0.000003
    19264.726000       0.000006
    19268.222000       0.000010
    19271.716000       0.000018
    19275.215000       0.000031
    19278.714000       0.000054
    19282.215000       0.000092
    19285.715000       0.000153
    19289.219000       0.000252
    19292.723000       0.000409
    19296.227000       0.000653
    19299.734000       0.001027
    19303.243000       0.001590
    19306.753000       0.002426
    19310.262000       0.003644
    19313.774000       0.005392
    19317.288000       0.007857
    19320.803000       0.011276
    19324.316000       0.015938
    19327.834000       0.022189
    19331.353000       0.030425
    19334.871000       0.041093
    19338.392000       0.054671
    19341.914000       0.071647
    19345.438000       0.092500
    19348.961000       0.117653
    19352.488000       0.147444
    19356.016000       0.182080
    19359.545000       0.221597
    19363.073000       0.265828
    19366.604000       0.314381
    19370.137000       0.366629
    19373.671000       0.421731
    19377.205000       0.478654
    19380.741000       0.536235
    19384.279000       0.593241
    19387.816000       0.648456
    19391.357000       0.700757
    19394.899000       0.749190
    19398.442000       0.793034
    19401.985000       0.831833
    19405.530000       0.865411
    19409.077000       0.893858
    19412.626000       0.917488
    19416.173000       0.936777
    19419.724000       0.952300
    19423.277000       0.964658
    19426.828000       0.974419
    19430.383000       0.982076
    19433.939000       0.988022
    19437.497000       0.992550
    19441.053000       0.995869
    19444.613000       0.998131
    19448.175000       0.999464
    19451.737000       1.000000
    19455.299000       0.999892
    19458.864000       0.999318
    19462.431000       0.998474
    19465.999000       0.997553
    19469.566000       0.996719
    19473.137000       0.996088
    19476.708000       0.995710
    19480.279000       0.995562
    19483.854000       0.995564
    19487.430000       0.995595
    19491.007000       0.995523
    19494.583000       0.995239
    19498.163000       0.994677
    19501.744000       0.993831
    19505.326000       0.992757
    19508.908000       0.991562
    19512.493000       0.990378
    19516.079000       0.989334
    19519.664000       0.988526
    19523.253000       0.988000
    19526.844000       0.987738
    19530.435000       0.987663
    19534.027000       0.987657
    19537.620000       0.987588
    19541.216000       0.987335
    19544.811000       0.986819
    19548.410000       0.986022
    19552.008000       0.984990
    19555.609000       0.983812
    19559.210000       0.982615
    19562.812000       0.981533
    19566.417000       0.980674
    19570.022000       0.980095
    19573.630000       0.979796
    19577.237000       0.979712
    19580.847000       0.979733
    19584.458000       0.979726
    19588.071000       0.979670
    19591.684000       0.979416
    19595.299000       0.978877
    19598.915000       0.978078
    19602.533000       0.977102
    19606.151000       0.976070
    19609.771000       0.975116
    19613.393000       0.974357
    19617.016000       0.973867
    19620.640000       0.973660
    19624.266000       0.973691
    19627.893000       0.973885
    19631.521000       0.974086
    19635.151000       0.974160
    19638.781000       0.974006
    19642.414000       0.973570
    19646.047000       0.972859
    19649.683000       0.971942
    19653.319000       0.970930
    19656.956000       0.969953
    19660.596000       0.969131
    19664.235000       0.968543
    19667.878000       0.968207
    19671.520000       0.968072
    19675.165000       0.968023
    19678.810000       0.967898
    19682.458000       0.967509
    19686.106000       0.966666
    19689.757000       0.965199
    19693.407000       0.962967
    19697.060000       0.959848
    19700.714000       0.955726
    19704.368000       0.950463
    19708.026000       0.943863
    19711.683000       0.935651
    19715.343000       0.925452
    19719.003000       0.912796
    19722.666000       0.897139
    19726.328000       0.877905
    19729.994000       0.854547
    19733.659000       0.826611
    19737.328000       0.793805
    19740.996000       0.756053
    19744.667000       0.713534
    19748.338000       0.666698
    19752.010000       0.616250
    19755.685000       0.563114
    19759.360000       0.508371
    19763.038000       0.453191
    19766.716000       0.398749
    19770.396000       0.346153
    19774.077000       0.296377
    19777.760000       0.250213
    19781.443000       0.208240
    19785.129000       0.170815
    19788.815000       0.138078
    19792.504000       0.109978
    19796.192000       0.086302
    19799.883000       0.066717
    19803.575000       0.050806
    19807.268000       0.038110
    19810.964000       0.028156
    19814.660000       0.020488
    19818.358000       0.014684
    19822.056000       0.010364
    19825.757000       0.007204
    19829.459000       0.004932
    19833.162000       0.003325
    19836.866000       0.002208
    19840.573000       0.001443
    19844.280000       0.000929
    19847.988000       0.000589
    19851.699000       0.000368
    19855.410000       0.000226
    19859.123000       0.000137
    19862.837000       0.000082
    19866.553000       0.000048
    19870.270000       0.000028
    19873.989000       0.000016
    19877.708000       0.000009
    19881.430000       0.000005
    19885.152000       0.000003
    19888.875000       0.000001
    19892.601000       0.000001
    19896.328000       0.000000
    19900.056000       0.000000
    19903.785000       0.000000
    19907.517000       0.000000
    19911.249000       0.000000
    19914.983000       0.000000
    19918.718000       0.000000
    19922.455000       0.000000
    19926.193000       0.000000
    19929.933000       0.000000
    19933.673000       0.000000
